dataset_name,estimator_name,repetition,split,fit_time,pred_time
iris,ExtraTreesClassifier,0,train,0 days 00:00:00.422448000,0 days 00:00:00.029319000
iris,ExtraTreesClassifier,0,test_0,0 days 00:00:00.422448000,0 days 00:00:00.029001000
iris,ExtraTreesClassifier,0,test_1,0 days 00:00:00.422448000,0 days 00:00:00.028472000
iris,ExtraTreesClassifier,1,train,0 days 00:00:00.427187000,0 days 00:00:00.029510000
iris,ExtraTreesClassifier,1,test_0,0 days 00:00:00.427187000,0 days 00:00:00.029013000
iris,ExtraTreesClassifier,1,test_1,0 days 00:00:00.427187000,0 days 00:00:00.030055000
iris,ExtraTreesClassifier,2,train,0 days 00:00:00.442845000,0 days 00:00:00.029599000
iris,ExtraTreesClassifier,2,test_0,0 days 00:00:00.442845000,0 days 00:00:00.028006000
iris,ExtraTreesClassifier,2,test_1,0 days 00:00:00.442845000,0 days 00:00:00.027479000
iris,RandomForestClassifier,0,train,0 days 00:00:00.460488000,0 days 00:00:00.028382000
iris,RandomForestClassifier,0,test_0,0 days 00:00:00.460488000,0 days 00:00:00.028337000
iris,RandomForestClassifier,0,test_1,0 days 00:00:00.460488000,0 days 00:00:00.027424000
iris,RandomForestClassifier,1,train,0 days 00:00:00.479616000,0 days 00:00:00.030631000
iris,RandomForestClassifier,1,test_0,0 days 00:00:00.479616000,0 days 00:00:00.028150000
iris,RandomForestClassifier,1,test_1,0 days 00:00:00.479616000,0 days 00:00:00.027762000
iris,RandomForestClassifier,2,train,0 days 00:00:00.472105000,0 days 00:00:00.029586000
iris,RandomForestClassifier,2,test_0,0 days 00:00:00.472105000,0 days 00:00:00.028213000
iris,RandomForestClassifier,2,test_1,0 days 00:00:00.472105000,0 days 00:00:00.027262000
mammography,ExtraTreesClassifier,0,train,0 days 00:00:00.454922000,0 days 00:00:00.045606000
mammography,ExtraTreesClassifier,0,test_0,0 days 00:00:00.454922000,0 days 00:00:00.034227000
mammography,ExtraTreesClassifier,0,test_1,0 days 00:00:00.454922000,0 days 00:00:00.034769000
mammography,ExtraTreesClassifier,1,train,0 days 00:00:00.455274000,0 days 00:00:00.044608000
mammography,ExtraTreesClassifier,1,test_0,0 days 00:00:00.455274000,0 days 00:00:00.033699000
mammography,ExtraTreesClassifier,1,test_1,0 days 00:00:00.455274000,0 days 00:00:00.033784000
mammography,ExtraTreesClassifier,2,train,0 days 00:00:00.470745000,0 days 00:00:00.045236000
mammography,ExtraTreesClassifier,2,test_0,0 days 00:00:00.470745000,0 days 00:00:00.034892000
mammography,ExtraTreesClassifier,2,test_1,0 days 00:00:00.470745000,0 days 00:00:00.036021000
mammography,RandomForestClassifier,0,train,0 days 00:00:00.548519000,0 days 00:00:00.040871000
mammography,RandomForestClassifier,0,test_0,0 days 00:00:00.548519000,0 days 00:00:00.032957000
mammography,RandomForestClassifier,0,test_1,0 days 00:00:00.548519000,0 days 00:00:00.033894000
mammography,RandomForestClassifier,1,train,0 days 00:00:00.560543000,0 days 00:00:00.041220000
mammography,RandomForestClassifier,1,test_0,0 days 00:00:00.560543000,0 days 00:00:00.033165000
mammography,RandomForestClassifier,1,test_1,0 days 00:00:00.560543000,0 days 00:00:00.033569000
mammography,RandomForestClassifier,2,train,0 days 00:00:00.539035000,0 days 00:00:00.042027000
mammography,RandomForestClassifier,2,test_0,0 days 00:00:00.539035000,0 days 00:00:00.033211000
mammography,RandomForestClassifier,2,test_1,0 days 00:00:00.539035000,0 days 00:00:00.034209000
