@RELATION R_data_frame

@ATTRIBUTE V1 NUMERIC
@ATTRIBUTE V2 NUMERIC
@ATTRIBUTE V3 NUMERIC
@ATTRIBUTE V4 NUMERIC
@ATTRIBUTE V5 NUMERIC
@ATTRIBUTE V6 NUMERIC
@ATTRIBUTE V7 NUMERIC
@ATTRIBUTE V8 NUMERIC
@ATTRIBUTE V9 NUMERIC
@ATTRIBUTE V10 NUMERIC
@ATTRIBUTE V11 NUMERIC
@ATTRIBUTE V12 NUMERIC
@ATTRIBUTE V13 NUMERIC
@ATTRIBUTE V14 NUMERIC
@ATTRIBUTE V15 NUMERIC
@ATTRIBUTE V16 NUMERIC
@ATTRIBUTE V17 NUMERIC
@ATTRIBUTE V18 NUMERIC
@ATTRIBUTE V19 NUMERIC
@ATTRIBUTE V20 NUMERIC
@ATTRIBUTE Class {1, 2}

@DATA
-931.0,3889.0,319.0,4231.0,-915.0,-224.0,256.0,-2057.0,4919.0,-1243.0,1949.0,843.0,1697.0,2265.0,-197.0,-1509.0,-23.0,4262.0,1331.0,176.0,2
-698.0,-1498.0,333.0,102.0,-4.0,-231.0,-1554.0,3758.0,-2863.0,17.0,1409.0,2658.0,501.0,-1476.0,-623.0,114.0,-1215.0,-2479.0,1635.0,115.0,2
705.0,49.0,-36.0,25.0,-293.0,635.0,842.0,133.0,-307.0,-259.0,174.0,-16.0,71.0,221.0,1304.0,704.0,1931.0,1202.0,767.0,357.0,2
-139.0,2285.0,374.0,602.0,284.0,1258.0,-312.0,-425.0,1402.0,-725.0,11.0,-627.0,-1482.0,83.0,649.0,-298.0,1192.0,985.0,678.0,439.0,2
852.0,-783.0,-2565.0,-1896.0,161.0,91.0,1798.0,37.0,1876.0,-3914.0,-1137.0,-18.0,-1425.0,-1583.0,806.0,-823.0,65.0,529.0,-2058.0,-74.0,2
22.0,-472.0,2969.0,772.0,662.0,153.0,1539.0,3223.0,105.0,666.0,1736.0,386.0,186.0,387.0,-1208.0,447.0,978.0,1258.0,-374.0,-38.0,2
-1667.0,-925.0,-198.0,6219.0,-656.0,-589.0,3388.0,2156.0,2474.0,-1218.0,-1337.0,-199.0,1118.0,2732.0,1497.0,-1382.0,1327.0,-3456.0,-2169.0,8.0,2
544.0,1643.0,2174.0,248.0,-693.0,-921.0,1106.0,191.0,12.0,814.0,631.0,312.0,-599.0,448.0,-146.0,-288.0,-164.0,278.0,1151.0,138.0,2
2937.0,386.0,-1495.0,1594.0,166.0,1529.0,-1593.0,2191.0,-1508.0,195.0,-1135.0,-4.0,-642.0,2066.0,119.0,1397.0,-22.0,299.0,1255.0,708.0,2
314.0,1798.0,-53.0,47.0,1275.0,531.0,-1103.0,933.0,-498.0,729.0,1294.0,-168.0,-821.0,1366.0,711.0,287.0,-316.0,133.0,1164.0,36.0,2
3903.0,285.0,-173.0,1511.0,-3701.0,53.0,-2439.0,183.0,-84.0,-2308.0,-2754.0,-712.0,-3203.0,1246.0,-685.0,2125.0,-1004.0,546.0,976.0,-2532.0,1
-1207.0,-929.0,-59.0,-386.0,2282.0,61.0,509.0,225.0,2539.0,1165.0,862.0,-868.0,83.0,2121.0,1522.0,1433.0,395.0,-113.0,896.0,1623.0,2
2045.0,-114.0,-205.0,-1123.0,-155.0,139.0,283.0,777.0,-96.0,785.0,-607.0,97.0,1493.0,2159.0,-1244.0,-496.0,-243.0,517.0,949.0,452.0,2
106.0,-317.0,311.0,1356.0,788.0,1225.0,-85.0,109.0,176.0,-832.0,1686.0,-1357.0,104.0,1434.0,-76.0,-927.0,433.0,803.0,1169.0,-627.0,2
-3264.0,-1188.0,1477.0,339.0,11.0,-1529.0,978.0,-1864.0,-3376.0,1053.0,-1986.0,-132.0,539.0,-393.0,-5536.0,689.0,4206.0,723.0,1152.0,1101.0,2
1276.0,-1282.0,-1811.0,2283.0,-567.0,91.0,-1308.0,-9.0,212.0,1669.0,-284.0,835.0,-749.0,456.0,1206.0,-22.0,1519.0,74.0,1335.0,1495.0,2
