% Mammography dataset
% 
% Past Usage:
% 
%   1. Woods, K., Doss, C., Bowyer, K., Solka, J., Priebe, C., & Kegelmeyer, P. (1993). Comparative
%      Evaluation of Pattern Recognition Techniques for Detection of Microcalcifications
%      in Mammography. International Journal of Pattern Recognition and Artificial Intelligence,
%      7(6), 1417-1436.
% 
%   2. Chawla, N., Bowyer, K., Hall, L., & Kegelmeyer, P. (2000). SMOTE: Synthetic Minority Over-sampling TEchnique.
%      In International Conference of Knowledge Based Computer Systems, pp. 46-57. National Center for Software Technology,
%      Mumbai, India, Allied Press.
% 
@RELATION mammography

@ATTRIBUTE attr1 NUMERIC
@ATTRIBUTE attr2 NUMERIC
@ATTRIBUTE attr3 NUMERIC
@ATTRIBUTE attr4 NUMERIC
@ATTRIBUTE attr5 NUMERIC
@ATTRIBUTE attr6 NUMERIC
@ATTRIBUTE class {-1, 1}

@DATA
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
0.034382313,-0.24016802,-0.230979,1.3058656,-0.37786573,1.5315738,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
0.53457014,-0.3994177,-0.18589744,1.9332968,1.5485291,1.4584433,1
0.018290934,-0.24459162,-0.14081588,0.64130335,1.1084163,1.2969467,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.55371526,-0.44807732,3.9165245,1.2240084,0.14258485,0.46813388,-1
-0.16261005,-0.28440404,-0.0055711987,1.0940496,1.6183637,1.2847583,1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.10095466,-0.3949941,-0.0055711987,0.84214884,0.92061023,1.1171674,-1
0.032349718,-0.45250093,-0.32114211,-0.85955255,-0.37786573,-0.94572324,-1
-0.012197995,-0.37287609,-0.36622367,-0.85955255,-0.37786573,-0.94572324,-1
0.17920473,-0.42595931,-0.41130523,0.75396248,2.4701088,1.2542872,1
