% Mammography dataset
% 
% Past Usage:
% 
%   1. Woods, K., Doss, C., Bowyer, K., Solka, J., Priebe, C., & Kegelmeyer, P. (1993). Comparative
%      Evaluation of Pattern Recognition Techniques for Detection of Microcalcifications
%      in Mammography. International Journal of Pattern Recognition and Artificial Intelligence,
%      7(6), 1417-1436.
% 
%   2. Chawla, N., Bowyer, K., Hall, L., & Kegelmeyer, P. (2000). SMOTE: Synthetic Minority Over-sampling TEchnique.
%      In International Conference of Knowledge Based Computer Systems, pp. 46-57. National Center for Software Technology,
%      Mumbai, India, Allied Press.
% 
@RELATION mammography

@ATTRIBUTE attr1 NUMERIC
@ATTRIBUTE attr2 NUMERIC
@ATTRIBUTE attr3 NUMERIC
@ATTRIBUTE attr4 NUMERIC
@ATTRIBUTE attr5 NUMERIC
@ATTRIBUTE attr6 NUMERIC
@ATTRIBUTE class {-1, 1}

@DATA
1.3301618,-0.45250093,-0.36622367,-0.85955255,-0.37786573,-0.94572324,-1
1.0190053,3.4535399,-0.50146835,-0.85955255,-0.37786573,-0.94572324,-1
-0.60724026,-0.4082649,3.150138,1.0012218,0.81087013,0.69057261,-1
0.49578144,-0.049953122,-0.18589744,-0.85955255,-0.37786573,-0.94572324,-1
0.1278817,-0.43923012,-0.095734317,-0.85955255,-0.37786573,-0.94572324,-1
-0.61096669,-0.42595931,0.12967348,0.82949051,1.5477389,0.51384047,-1
0.0037240013,-0.4038413,-0.095734317,-0.85955255,-0.37786573,-0.94572324,-1
-0.14397792,-0.32421646,-0.095734317,0.8379294,-0.37786573,0.36453228,-1
-0.05047854,-0.35960528,-0.32114211,1.3400431,-0.37786573,0.81245684,-1
0.21731589,-0.35518168,0.30999972,0.50501534,-0.37786573,0.71494946,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
0.1566768,-0.12073076,0.12967348,0.73961638,-0.37786573,1.0866964,-1
-0.079781788,-0.31094565,0.26491816,0.045096048,-0.37786573,1.0866964,-1
-0.073684002,-0.41268851,-0.14081588,1.0628257,1.524757,1.0836493,-1
0.26457373,-0.26670963,-0.45638679,-0.85955255,-0.37786573,-0.94572324,-1
0.60960678,1.8787375,-0.27606055,0.85354134,0.68819037,1.047084,-1
-0.30014899,-0.4082649,2.3386699,1.0185216,-0.37786573,0.91605844,-1
0.59503985,0.63128162,-0.14081588,1.5446861,-0.37786573,1.5407151,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.045566434,-0.36402888,-0.230979,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
0.94972772,5.0858491,-0.36622367,-0.85955255,-0.37786573,-0.94572324,-1
-0.10739121,-0.38614689,-0.14081588,-0.85955255,-0.37786573,-0.94572324,-1
-0.0088103363,-0.4038413,-0.36622367,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.055898794,-0.22689721,0.30999972,0.66282251,-0.37786573,1.2451459,-1
-0.22494297,-0.30209845,-0.0055711987,0.60417225,0.77998617,1.3365591,-1
0.50306491,0.7772605,0.89605999,-0.85955255,-0.37786573,-0.94572324,-1
-0.30946506,-0.41268851,-0.14081588,0.54763172,2.5874547,1.1842038,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
1.844239,-0.45250093,-0.095734317,-0.85955255,-0.37786573,-0.94572324,-1
-0.043703222,-0.24901522,-0.050652758,0.5560706,-0.37786573,0.62963049,-1
-0.55371526,-0.44807732,3.9165245,1.2240084,0.14258485,0.46813388,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
0.26254113,-0.45250093,-0.095734317,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.012197995,-0.37287609,-0.36622367,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
1.5955849,-0.44807732,-0.36622367,-0.85955255,-0.37786573,-0.94572324,-1
0.071307794,-0.18266119,0.35508128,0.4303312,0.28231992,1.3944541,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.017448866,-0.41711211,-0.230979,2.0463779,1.4839625,0.92215265,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
1.2688452,5.0460367,-0.50146835,0.89109438,-0.37786573,0.20608278,-1
0.60215393,-0.16496678,-0.18589744,1.9332968,1.5485291,1.2603814,-1
-0.56353947,-0.45250093,-0.59163147,0.096995197,-0.37786573,0.13904645,-1
0.1109434,-0.42153571,-0.41130523,-0.85955255,-0.37786573,-0.94572324,-1
-0.15685103,-0.45250093,0.62557063,0.34805206,-0.37786573,0.93129397,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.39110763,-0.4082649,1.0763862,-0.018195598,-0.37786573,1.3152293,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
0.742403,-0.45250093,-0.41130523,-0.85955255,-0.37786573,-0.94572324,-1
1.2200629,-0.43923012,-0.50146835,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
0.14431184,-0.17823759,-0.0055711987,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.24984226,-0.31094565,1.3919571,1.2370887,0.079038976,1.0623195,-1
0.28100387,0.32605307,-0.095734317,-0.85955255,-0.37786573,-0.94572324,-1
0.36349337,-0.067647531,-0.32114211,-0.85955255,-0.37786573,-0.94572324,-1
1.203294,1.5602381,-0.095734317,1.6303408,-0.37786573,0.72104367,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
0.15210346,-0.30209845,0.08459192,0.71387777,0.61842161,1.2664756,-1
0.76340649,-0.45250093,-0.45638679,-0.85955255,-0.37786573,-0.94572324,-1
0.42023665,0.25969903,-0.36622367,0.71134611,-0.37786573,1.0044245,-1
-0.38992195,-0.42153571,0.08459192,0.42020454,2.1139886,1.3548417,-1
-0.21494937,-0.41268851,0.039510361,0.80628358,-0.37786573,1.5346209,-1
0.63196533,0.14468538,-0.41130523,1.0282263,1.6485562,1.1659211,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
0.88536221,1.2196207,-0.45638679,-0.85955255,-0.37786573,-0.94572324,-1
-0.23341212,-0.43038291,0.76081531,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
0.30302366,0.10929656,0.12967348,0.64510085,1.179074,0.79417421,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
0.10552315,-0.14284877,0.76081531,0.98476602,0.42412928,1.1384972,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
0.47664117,0.3791363,-0.14081588,1.0843449,-0.37786573,1.1384972,-1
-0.034217777,-0.29767485,1.8427727,2.7590418,-0.37786573,1.5346209,-1
0.071815943,0.034095321,2.6993224,0.065771319,-0.37786573,1.0379427,-1
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,-1
-0.32132186,-0.37287609,1.4370387,-0.85955255,-0.37786573,-0.94572324,-1
0.36400152,0.42337232,-0.230979,0.89742355,-0.37786573,1.0897435,-1
0.025066252,0.025248116,-0.18589744,-0.85955255,-0.37786573,-0.94572324,-1
0.86046291,1.1798083,-0.050652758,1.1041763,-0.37786573,0.71799656,-1
0.2251075,-0.3994177,-0.45638679,-0.85955255,-0.37786573,-0.94572324,-1
0.051320607,-0.36402888,-0.36622367,0.95438603,1.7116411,1.3091351,-1
