@RELATION evaluation_times

@ATTRIBUTE train_size REAL
@ATTRIBUTE fit_time INTEGER
@ATTRIBUTE score_time INTEGER
@ATTRIBUTE dataset_name {d0_speeddating, d1_mammography, d2_iris, d3_climate-model-simulation-crashes, d4_diabetes, d5_ilpd, d6_kc2, d7_steel-plates-fault, d8_segment, d9_hepatitis, d10_ringnorm, d11_credit-g}
@ATTRIBUTE estimator_name {e0_ExtraTreesClassifier, e1_RandomForestClassifier, e2_DecisionTreeClassifier, e3_AdaBoostClassifier, e4_GaussianNB, e5_KNeighborsClassifier, e6_SVC, e7_GaussianProcessClassifier, e8_MLPClassifier, e9_Perceptron}
@ATTRIBUTE repetition {r0, r1}
@ATTRIBUTE split {train, test0, test1}

@DATA
0.6,'0 days 00:00:02.325433','0 days 00:00:00.283171',d0_speeddating,e0_ExtraTreesClassifier,r0,train
0.6,'0 days 00:00:02.325433','0 days 00:00:00.118614',d0_speeddating,e0_ExtraTreesClassifier,r0,test0
0.6,'0 days 00:00:02.325433','0 days 00:00:00.124746',d0_speeddating,e0_ExtraTreesClassifier,r0,test1
0.6,'0 days 00:00:02.683679','0 days 00:00:00.351759',d0_speeddating,e0_ExtraTreesClassifier,r1,train
0.6,'0 days 00:00:02.683679','0 days 00:00:00.121702',d0_speeddating,e0_ExtraTreesClassifier,r1,test0
0.6,'0 days 00:00:02.683679','0 days 00:00:00.122095',d0_speeddating,e0_ExtraTreesClassifier,r1,test1
0.6,'0 days 00:00:03.660856','0 days 00:00:00.305676',d0_speeddating,e1_RandomForestClassifier,r0,train
0.6,'0 days 00:00:03.660856','0 days 00:00:00.113574',d0_speeddating,e1_RandomForestClassifier,r0,test0
0.6,'0 days 00:00:03.660856','0 days 00:00:00.186843',d0_speeddating,e1_RandomForestClassifier,r0,test1
0.6,'0 days 00:00:03.447808','0 days 00:00:00.267199',d0_speeddating,e1_RandomForestClassifier,r1,train
0.6,'0 days 00:00:03.447808','0 days 00:00:00.111784',d0_speeddating,e1_RandomForestClassifier,r1,test0
0.6,'0 days 00:00:03.447808','0 days 00:00:00.113663',d0_speeddating,e1_RandomForestClassifier,r1,test1
0.6,'0 days 00:00:00.016581','0 days 00:00:00.002012',d0_speeddating,e2_DecisionTreeClassifier,r0,train
0.6,'0 days 00:00:00.016581','0 days 00:00:00.000776',d0_speeddating,e2_DecisionTreeClassifier,r0,test0
0.6,'0 days 00:00:00.016581','0 days 00:00:00.000728',d0_speeddating,e2_DecisionTreeClassifier,r0,test1
0.6,'0 days 00:00:00.016564','0 days 00:00:00.002035',d0_speeddating,e2_DecisionTreeClassifier,r1,train
0.6,'0 days 00:00:00.016564','0 days 00:00:00.000754',d0_speeddating,e2_DecisionTreeClassifier,r1,test0
0.6,'0 days 00:00:00.016564','0 days 00:00:00.001185',d0_speeddating,e2_DecisionTreeClassifier,r1,test1
0.6,'0 days 00:00:00.720770','0 days 00:00:00.050964',d0_speeddating,e3_AdaBoostClassifier,r0,train
0.6,'0 days 00:00:00.720770','0 days 00:00:00.020134',d0_speeddating,e3_AdaBoostClassifier,r0,test0
0.6,'0 days 00:00:00.720770','0 days 00:00:00.019895',d0_speeddating,e3_AdaBoostClassifier,r0,test1
0.6,'0 days 00:00:00.834332','0 days 00:00:00.045987',d0_speeddating,e3_AdaBoostClassifier,r1,train
0.6,'0 days 00:00:00.834332','0 days 00:00:00.020292',d0_speeddating,e3_AdaBoostClassifier,r1,test0
0.6,'0 days 00:00:00.834332','0 days 00:00:00.019699',d0_speeddating,e3_AdaBoostClassifier,r1,test1
0.6,'0 days 00:00:00.014881','0 days 00:00:00.018936',d0_speeddating,e4_GaussianNB,r0,train
0.6,'0 days 00:00:00.014881','0 days 00:00:00.004210',d0_speeddating,e4_GaussianNB,r0,test0
0.6,'0 days 00:00:00.014881','0 days 00:00:00.002813',d0_speeddating,e4_GaussianNB,r0,test1
0.6,'0 days 00:00:00.009213','0 days 00:00:00.008505',d0_speeddating,e4_GaussianNB,r1,train
0.6,'0 days 00:00:00.009213','0 days 00:00:00.002907',d0_speeddating,e4_GaussianNB,r1,test0
0.6,'0 days 00:00:00.009213','0 days 00:00:00.002858',d0_speeddating,e4_GaussianNB,r1,test1
0.6,'0 days 00:00:00.022031','0 days 00:00:01.743721',d0_speeddating,e5_KNeighborsClassifier,r0,train
0.6,'0 days 00:00:00.022031','0 days 00:00:00.547704',d0_speeddating,e5_KNeighborsClassifier,r0,test0
0.6,'0 days 00:00:00.022031','0 days 00:00:00.583145',d0_speeddating,e5_KNeighborsClassifier,r0,test1
0.6,'0 days 00:00:00.020638','0 days 00:00:01.690494',d0_speeddating,e5_KNeighborsClassifier,r1,train
0.6,'0 days 00:00:00.020638','0 days 00:00:00.576237',d0_speeddating,e5_KNeighborsClassifier,r1,test0
0.6,'0 days 00:00:00.020638','0 days 00:00:00.573823',d0_speeddating,e5_KNeighborsClassifier,r1,test1
0.6,'0 days 00:00:04.718812','0 days 00:00:03.943266',d0_speeddating,e6_SVC,r0,train
0.6,'0 days 00:00:04.718812','0 days 00:00:01.313348',d0_speeddating,e6_SVC,r0,test0
0.6,'0 days 00:00:04.718812','0 days 00:00:01.307640',d0_speeddating,e6_SVC,r0,test1
0.6,'0 days 00:00:04.428605','0 days 00:00:04.392466',d0_speeddating,e6_SVC,r1,train
0.6,'0 days 00:00:04.428605','0 days 00:00:01.509705',d0_speeddating,e6_SVC,r1,test0
0.6,'0 days 00:00:04.428605','0 days 00:00:01.356187',d0_speeddating,e6_SVC,r1,test1
0.6,'0 days 00:00:35.637603','0 days 00:00:03.494280',d0_speeddating,e7_GaussianProcessClassifier,r0,train
0.6,'0 days 00:00:35.637603','0 days 00:00:00.809970',d0_speeddating,e7_GaussianProcessClassifier,r0,test0
0.6,'0 days 00:00:35.637603','0 days 00:00:00.823128',d0_speeddating,e7_GaussianProcessClassifier,r0,test1
0.6,'0 days 00:00:31.241807','0 days 00:00:03.310929',d0_speeddating,e7_GaussianProcessClassifier,r1,train
0.6,'0 days 00:00:31.241807','0 days 00:00:00.959067',d0_speeddating,e7_GaussianProcessClassifier,r1,test0
0.6,'0 days 00:00:31.241807','0 days 00:00:00.832396',d0_speeddating,e7_GaussianProcessClassifier,r1,test1
0.6,'0 days 00:00:04.583612','0 days 00:00:00.010124',d0_speeddating,e8_MLPClassifier,r0,train
0.6,'0 days 00:00:04.583612','0 days 00:00:00.003084',d0_speeddating,e8_MLPClassifier,r0,test0
0.6,'0 days 00:00:04.583612','0 days 00:00:00.004260',d0_speeddating,e8_MLPClassifier,r0,test1
0.6,'0 days 00:00:06.405625','0 days 00:00:00.026254',d0_speeddating,e8_MLPClassifier,r1,train
0.6,'0 days 00:00:06.405625','0 days 00:00:00.005468',d0_speeddating,e8_MLPClassifier,r1,test0
0.6,'0 days 00:00:06.405625','0 days 00:00:00.004811',d0_speeddating,e8_MLPClassifier,r1,test1
0.6,'0 days 00:00:00.016599','0 days 00:00:00.002918',d0_speeddating,e9_Perceptron,r0,train
0.6,'0 days 00:00:00.016599','0 days 00:00:00.003294',d0_speeddating,e9_Perceptron,r0,test0
0.6,'0 days 00:00:00.016599','0 days 00:00:00.001201',d0_speeddating,e9_Perceptron,r0,test1
0.6,'0 days 00:00:00.011045','0 days 00:00:00.001719',d0_speeddating,e9_Perceptron,r1,train
0.6,'0 days 00:00:00.011045','0 days 00:00:00.000725',d0_speeddating,e9_Perceptron,r1,test0
0.6,'0 days 00:00:00.011045','0 days 00:00:00.001609',d0_speeddating,e9_Perceptron,r1,test1
0.6,'0 days 00:00:01.385170','0 days 00:00:00.398014',d1_mammography,e0_ExtraTreesClassifier,r0,train
0.6,'0 days 00:00:01.385170','0 days 00:00:00.155448',d1_mammography,e0_ExtraTreesClassifier,r0,test0
0.6,'0 days 00:00:01.385170','0 days 00:00:00.147574',d1_mammography,e0_ExtraTreesClassifier,r0,test1
0.6,'0 days 00:00:01.782182','0 days 00:00:00.415950',d1_mammography,e0_ExtraTreesClassifier,r1,train
0.6,'0 days 00:00:01.782182','0 days 00:00:00.159768',d1_mammography,e0_ExtraTreesClassifier,r1,test0
0.6,'0 days 00:00:01.782182','0 days 00:00:00.191482',d1_mammography,e0_ExtraTreesClassifier,r1,test1
0.6,'0 days 00:00:02.567815','0 days 00:00:00.295943',d1_mammography,e1_RandomForestClassifier,r0,train
0.6,'0 days 00:00:02.567815','0 days 00:00:00.148322',d1_mammography,e1_RandomForestClassifier,r0,test0
0.6,'0 days 00:00:02.567815','0 days 00:00:00.141170',d1_mammography,e1_RandomForestClassifier,r0,test1
