fit_time,pred_time,dataset_name,estimator_name,repetition,split
d0_speeddating,e0_ExtraTreesClassifier,r0,train,0 days 00:00:00.640356000,0 days 00:00:00.066300000
d0_speeddating,e0_ExtraTreesClassifier,r0,test0,0 days 00:00:00.640356000,0 days 00:00:00.055545000
d0_speeddating,e0_ExtraTreesClassifier,r0,test1,0 days 00:00:00.640356000,0 days 00:00:00.063257000
d0_speeddating,e0_ExtraTreesClassifier,r1,train,0 days 00:00:00.750833000,0 days 00:00:00.055628000
d0_speeddating,e0_ExtraTreesClassifier,r1,test0,0 days 00:00:00.750833000,0 days 00:00:00.045854000
d0_speeddating,e0_ExtraTreesClassifier,r1,test1,0 days 00:00:00.750833000,0 days 00:00:00.040771000
d0_speeddating,e1_RandomForestClassifier,r0,train,0 days 00:00:00.762418000,0 days 00:00:00.052249000
d0_speeddating,e1_RandomForestClassifier,r0,test0,0 days 00:00:00.762418000,0 days 00:00:00.039304000
d0_speeddating,e1_RandomForestClassifier,r0,test1,0 days 00:00:00.762418000,0 days 00:00:00.039562000
d0_speeddating,e1_RandomForestClassifier,r1,train,0 days 00:00:00.754933000,0 days 00:00:00.051609000
d0_speeddating,e1_RandomForestClassifier,r1,test0,0 days 00:00:00.754933000,0 days 00:00:00.037984000
d0_speeddating,e1_RandomForestClassifier,r1,test1,0 days 00:00:00.754933000,0 days 00:00:00.038853000
d0_speeddating,e2_DecisionTreeClassifier,r0,train,0 days 00:00:00.002459000,0 days 00:00:00.000388000
d0_speeddating,e2_DecisionTreeClassifier,r0,test0,0 days 00:00:00.002459000,0 days 00:00:00.000278000
d0_speeddating,e2_DecisionTreeClassifier,r0,test1,0 days 00:00:00.002459000,0 days 00:00:00.000279000
d0_speeddating,e2_DecisionTreeClassifier,r1,train,0 days 00:00:00.002512000,0 days 00:00:00.000359000
d0_speeddating,e2_DecisionTreeClassifier,r1,test0,0 days 00:00:00.002512000,0 days 00:00:00.000293000
d0_speeddating,e2_DecisionTreeClassifier,r1,test1,0 days 00:00:00.002512000,0 days 00:00:00.000261000
d0_speeddating,e3_AdaBoostClassifier,r0,train,0 days 00:00:00.126208000,0 days 00:00:00.009115000
d0_speeddating,e3_AdaBoostClassifier,r0,test0,0 days 00:00:00.126208000,0 days 00:00:00.006031000
