mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_algorithm,param_learning_rate,param_n_estimators,param_random_state,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.06700758934020996,0.004112863540649414,0.758,0.7989999999999999,SAMME.R,0.9,30,12345,5,0.78,0.78625,0.78,0.79125,0.765,0.8025,0.725,0.81375,0.74,0.80125,0.009549288667833014,0.0012915996625196564,0.02204540768504862,0.009565563234854486
0.1167182445526123,0.009896612167358399,0.761,0.80475,SAMME.R,0.75,50,12345,2,0.79,0.79875,0.785,0.7925,0.745,0.8025,0.745,0.81375,0.74,0.81625,0.014813513810470965,0.0025151788647040808,0.021771541057077258,0.008993052874302488
0.0730428695678711,0.0061034679412841795,0.752,0.7945,SAMME.R,0.5,30,12345,17,0.765,0.79625,0.76,0.7775,0.765,0.78625,0.73,0.8075,0.74,0.805,0.0123956736210956,0.0007214701008569819,0.014352700094407337,0.011308182877898658
0.0783121109008789,0.005764961242675781,0.758,0.79875,SAMME.R,0.85,30,12345,5,0.75,0.78625,0.785,0.795,0.79,0.80375,0.72,0.81,0.745,0.79875,0.008847371625708221,0.0015321342503567916,0.026191601707417612,0.008023403267940613
0.12365117073059081,0.0058806419372558595,0.755,0.78275,SAMME,0.9,50,12345,10,0.775,0.77125,0.775,0.765,0.76,0.795,0.715,0.795,0.75,0.7875,0.009211038699637611,0.0017017824390801305,0.022135943621178676,0.012409673645990868
0.12753696441650392,0.008489370346069336,0.749,0.8067499999999999,SAMME.R,0.85,50,12345,31,0.75,0.7875,0.78,0.7975,0.745,0.8125,0.74,0.82,0.73,0.81625,0.009209871621576151,0.00276752916124275,0.01685229954635273,0.01228820572744451
0.18812522888183594,0.014383220672607422,0.747,0.8162500000000001,SAMME.R,0.9,70,12345,36,0.765,0.8,0.765,0.81,0.74,0.8175,0.73,0.83,0.735,0.82375,0.005558461298164628,0.003047423155009006,0.015033296378372921,0.010488088481701482
0.22219476699829102,0.01761765480041504,0.754,0.8160000000000001,SAMME.R,0.75,90,12345,15,0.78,0.805,0.78,0.81125,0.74,0.8125,0.74,0.82375,0.73,0.8275,0.014164135210325049,0.0037059617956332665,0.021540659228538036,0.008344159634139302
0.10234007835388184,0.004599571228027344,0.734,0.7745,SAMME,0.65,40,12345,47,0.75,0.765,0.755,0.76125,0.735,0.7675,0.72,0.795,0.71,0.78375,0.0010474586527625895,0.0012570554139377055,0.017146428199482262,0.012811127975318966
0.08225359916687011,0.00720057487487793,0.759,0.7929999999999999,SAMME.R,0.65,30,12345,4,0.77,0.78375,0.785,0.78375,0.765,0.795,0.715,0.79875,0.76,0.80375,0.012274053759512186,0.00033217780426873263,0.023537204591879662,0.008046738469715552
0.11610198020935059,0.007352113723754883,0.751,0.7997499999999998,SAMME.R,0.5,50,12345,19,0.76,0.79375,0.78,0.7875,0.75,0.8,0.72,0.80875,0.745,0.80875,0.007653812134260328,0.0022006320951509345,0.01959591794226544,0.008344159634139318
0.10464334487915039,0.005308008193969727,0.751,0.784,SAMME,0.9,40,12345,19,0.79,0.77875,0.775,0.765,0.755,0.7925,0.71,0.795,0.725,0.78875,0.012481661400473451,0.0011475328056106046,0.02989983277545213,0.010994316713648002
0.07084999084472657,0.0033115863800048826,0.747,0.7847500000000001,SAMME,1,30,12345,36,0.77,0.76625,0.755,0.77,0.76,0.8,0.715,0.7875,0.735,0.8,0.00696959256853406,0.001056530464100144,0.019646882704388517,0.014370107863199932
