mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.5738144874572754,0.03634896278381348,0.75,0.867,gini,10,0.33,35,1,2,500,12345,1,0.74,0.86625,0.79,0.87,0.745,0.865,0.71,0.86375,0.765,0.87,0.007800249138167096,0.0008628068501325457,0.02664582518894848,0.002573907535246747
0.5219231128692627,0.03434243202209473,0.725,0.7375,entropy,5,0.33,45,0.05,4,500,12345,18,0.725,0.73,0.755,0.72125,0.7,0.74375,0.71,0.755,0.735,0.7375,0.0011409592523631286,0.0001098482755837463,0.01923538406167136,0.011537980759214347
0.017649221420288085,0.0012703895568847655,0.737,0.8942500000000001,gini,,,45,1,0.001,10,12345,16,0.75,0.87875,0.78,0.89875,0.75,0.8875,0.68,0.90375,0.725,0.9025,0.0003639508894278342,8.611494254561165e-05,0.03340658617698012,0.009637167633698197
0.20902538299560547,0.014039564132690429,0.741,0.78775,gini,10,0.25,15,0.0005,0.005,200,12345,10,0.725,0.79125,0.76,0.77375,0.73,0.79375,0.73,0.795,0.76,0.785,0.0005360342596947849,4.504493645091901e-05,0.015620499351813323,0.007802243267163599
0.11336350440979004,0.0076849937438964845,0.74,0.82675,entropy,10,log2,40,0.005,5,100,12345,12,0.735,0.8225,0.77,0.82625,0.73,0.81875,0.7,0.8325,0.765,0.83375,0.0005978806502642032,2.3583635055875245e-05,0.025495097567963948,0.0057336724705898635
0.3053081512451172,0.014445638656616211,0.744,0.82125,entropy,5,,35,0.001,0.05,200,12345,7,0.735,0.815,0.79,0.8225,0.75,0.82,0.7,0.8175,0.745,0.83125,0.001141314269447934,2.8998835212466312e-05,0.028879058156387326,0.005590169943749505
0.12986788749694825,0.007544183731079101,0.746,0.8455,entropy,5,0.5,35,0.0005,0.005,100,12345,5,0.73,0.84875,0.8,0.8475,0.745,0.83875,0.715,0.845,0.74,0.8475,0.00041323239107151846,4.248124017782338e-05,0.02887905815638733,0.003588175023601841
0.5587752819061279,0.03490610122680664,0.74,0.75725,gini,5,0.5,,0.05,4,500,12345,12,0.74,0.7575,0.755,0.7425,0.735,0.765,0.73,0.76125,0.74,0.76,0.0008790874925557379,0.00032268840603574,0.008366600265340763,0.007762087348129994
0.06402502059936524,0.003987693786621093,0.749,0.8264999999999999,entropy,,0.5,20,3,0.001,50,12345,2,0.725,0.825,0.79,0.83,0.76,0.82875,0.72,0.81375,0.75,0.835,0.00027985030487650284,3.4394010034909945e-05,0.025377155080899064,0.007132671308843551
0.12108674049377441,0.007522773742675781,0.743,0.8065,gini,5,0.5,50,0.005,0.05,100,12345,8,0.735,0.80625,0.78,0.80125,0.73,0.8125,0.72,0.80375,0.75,0.80875,0.0008605643704853645,8.329478504275744e-05,0.02088061301782112,0.0039051248379533233
0.10026183128356933,0.006966638565063477,0.706,0.7095,entropy,10,0.25,5,1,0.01,100,12345,19,0.705,0.71,0.705,0.7075,0.705,0.71125,0.7,0.71375,0.715,0.705,0.0004444787790138078,8.271680315559907e-05,0.00489897948556636,0.003020761493398656
0.3179893493652344,0.014275503158569337,0.746,0.83925,entropy,40,,20,0.001,0.005,200,12345,5,0.735,0.825,0.79,0.8525,0.75,0.83625,0.705,0.835,0.75,0.8475,0.0023661859924710557,7.40000573122696e-05,0.027459060435491987,0.00973396116696592
0.110813570022583,0.007517004013061523,0.74,0.8155000000000001,entropy,20,log2,30,0.001,3,100,12345,12,0.735,0.82125,0.755,0.805,0.72,0.81375,0.73,0.815,0.76,0.8225,0.0006972096876424149,0.00010991749154529423,0.015165750888103114,0.006254998001598396
0.5374787330627442,0.03518204689025879,0.742,0.7822500000000001,entropy,30,log2,20,0.005,3,500,12345,9,0.735,0.78125,0.76,0.76875,0.725,0.79125,0.72,0.785,0.77,0.785,0.0026312235359295844,0.00024482560179496244,0.019646882704388517,0.007474958193863016
0.02236452102661133,0.0018875598907470703,0.736,0.7895,gini,5,0.25,20,0.005,3,20,12345,17,0.74,0.80125,0.75,0.7775,0.72,0.7925,0.725,0.79125,0.745,0.785,0.0003699759998164376,3.04627671360706e-05,0.011575836902790236,0.007929375763576864
0.05106029510498047,0.003916788101196289,0.705,0.71475,entropy,,log2,,0.05,0.05,50,12345,20,0.705,0.7175,0.71,0.70375,0.7,0.72625,0.705,0.7125,0.705,0.71375,0.00018610738649910106,4.392454530843795e-05,0.003162277660168382,0.007305819598101218
0.20886435508728027,0.01476287841796875,0.74,0.7747499999999999,gini,5,log2,50,3,0.05,200,12345,12,0.725,0.77875,0.765,0.76125,0.73,0.77625,0.71,0.7825,0.77,0.775,0.0006132620395515906,0.00036249231646036183,0.023452078799117166,0.007219764539096832
0.036113548278808597,0.0019771099090576173,0.741,0.8535,entropy,17,,40,7,0.01,20,12345,10,0.745,0.84,0.775,0.85375,0.75,0.85375,0.7,0.855,0.735,0.865,0.0002917323247910955,3.992741781101878e-05,0.024372115213907905,0.007960841664045336
