mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_algorithm,param_metric,param_n_neighbors,param_weights,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0015604496002197266,0.004934883117675782,0.683,1.0,brute,euclidean,17,distance,31,0.695,1.0,0.695,1.0,0.645,1.0,0.68,1.0,0.7,1.0,0.00036178355123713256,0.0005385007467447543,0.02014944167960986,0.0
0.0015401363372802735,0.005576801300048828,0.685,0.74725,brute,manhattan,9,uniform,28,0.695,0.74625,0.68,0.73875,0.665,0.755,0.68,0.7475,0.705,0.74875,0.00021772127738970855,0.0005846475953960356,0.013784048752090185,0.005208166663999913
0.0011139392852783203,0.004302978515625,0.688,1.0,brute,l1,17,distance,26,0.695,1.0,0.695,1.0,0.66,1.0,0.685,1.0,0.705,1.0,1.9653212394477294e-05,0.00014853022064771084,0.015362291495737186,0.0
0.001358938217163086,0.0018198013305664063,0.692,0.7275,kd_tree,manhattan,15,uniform,17,0.705,0.72125,0.705,0.715,0.67,0.7375,0.68,0.73125,0.7,0.7325,7.236487374028673e-05,3.3989961418654537e-05,0.014352700094407285,0.008177713616898093
0.001321268081665039,0.001401519775390625,0.643,1.0,ball_tree,l1,4,distance,52,0.645,1.0,0.665,1.0,0.615,1.0,0.61,1.0,0.68,1.0,2.0046111631881172e-05,1.3257102103046528e-05,0.02731300056749535,0.0
0.0013194561004638671,0.0016660213470458985,0.669,1.0,kd_tree,l1,7,distance,45,0.675,1.0,0.68,1.0,0.64,1.0,0.66,1.0,0.69,1.0,4.4027436364563173e-05,2.5437552958635143e-05,0.017435595774162684,0.0
0.0013697147369384766,0.0017454147338867188,0.696,0.721,ball_tree,cityblock,17,uniform,6,0.71,0.72125,0.705,0.715,0.68,0.73,0.69,0.725,0.695,0.71375,4.132365563065913e-05,2.6466567153391515e-05,0.010677078252031288,0.0060930288034769685
0.0013384819030761719,0.0019624710083007814,0.689,1.0,kd_tree,l1,17,distance,21,0.695,1.0,0.695,1.0,0.665,1.0,0.685,1.0,0.705,1.0,4.1393475404193397e-05,1.877757847691863e-05,0.013564659966250501,0.0
0.0013234615325927734,0.0013624668121337891,0.674,0.76375,ball_tree,manhattan,4,uniform,36,0.66,0.76,0.7,0.75375,0.66,0.775,0.66,0.77375,0.69,0.75625,3.11002391947066e-05,1.5135805906180975e-05,0.017435595774162656,0.008909264840602744
0.0013579368591308595,0.001926279067993164,0.695,1.0,ball_tree,manhattan,20,distance,9,0.695,1.0,0.72,1.0,0.665,1.0,0.685,1.0,0.71,1.0,4.3183285009371975e-05,3.7784222577598336e-05,0.019235384061671315,0.0
