mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_random_state,param_splitter,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0027098655700683594,0.00043129920959472656,0.74609375,0.843420989910225,entropy,40,0.5,30,0.0001,3,12345,best,138,0.7792207792207793,0.8403908794788274,0.7857142857142857,0.8306188925081434,0.7272727272727273,0.8485342019543974,0.7124183006535948,0.8455284552845529,0.7254901960784313,0.8520325203252033,5.681610286708034e-05,1.6636765764926978e-05,0.030271241647034954,0.00745412732544336
0.0012315750122070313,0.0004115104675292969,0.7109375,0.7962199094303647,gini,25,log2,50,1,4,12345,random,1052,0.6948051948051948,0.8045602605863192,0.7402597402597403,0.7833876221498371,0.7207792207792207,0.7882736156351792,0.7124183006535948,0.8260162601626017,0.6862745098039216,0.7788617886178861,1.986334423126234e-05,5.028315096459987e-06,0.019121426712527808,0.017242386809447844
0.0011524677276611329,0.0004081249237060547,0.68359375,0.6962861153041497,entropy,5,0.33,,0.005,0.001,12345,random,1492,0.7077922077922078,0.6807817589576547,0.7077922077922078,0.7019543973941368,0.6493506493506493,0.6970684039087948,0.6797385620915033,0.7089430894308943,0.673202614379085,0.6926829268292682,1.8779394706951305e-05,3.1965877079190003e-06,0.022235927851265224,0.009447840221577923
0.0012372493743896484,0.00040926933288574217,0.6809895833333334,0.7285172532507083,entropy,5,0.5,35,0.0001,2,12345,random,1544,0.6558441558441559,0.7100977198697068,0.6883116883116883,0.7214983713355049,0.6948051948051948,0.758957654723127,0.6862745098039216,0.7154471544715447,0.6797385620915033,0.7365853658536585,2.584950023589533e-05,3.5318153738291178e-06,0.013479172255729591,0.017612971800274976
0.0015032291412353516,0.0004139423370361328,0.7096354166666666,0.8564375943433701,gini,30,sqrt,35,0.0001,4,12345,best,1078,0.7077922077922078,0.8566775244299675,0.7142857142857143,0.8208469055374593,0.7142857142857143,0.8680781758957655,0.7189542483660131,0.8585365853658536,0.6928104575163399,0.8780487804878049,2.1433286585717695e-05,3.895499852275868e-06,0.009113114824646485,0.019358238374839187
0.0011537551879882812,0.00040841102600097656,0.6796875,0.7395858160536002,gini,,0.33,35,0.001,0.01,12345,random,1567,0.6948051948051948,0.757328990228013,0.6883116883116883,0.7198697068403909,0.6428571428571429,0.749185667752443,0.7058823529411765,0.7463414634146341,0.6666666666666666,0.7252032520325203,2.4445241896519983e-05,4.7276666862279655e-06,0.022432510636623985,0.014478945155070026
0.0014689445495605468,0.00041522979736328123,0.7096354166666666,0.757811498636159,entropy,5,0.25,40,0.05,0.005,12345,best,1078,0.7597402597402597,0.754071661237785,0.7012987012987013,0.755700325732899,0.6948051948051948,0.760586319218241,0.7124183006535948,0.7626016260162601,0.6797385620915033,0.7560975609756098,1.3275783622184676e-05,4.707423754953169e-06,0.027222298597869645,0.003225708191338006
0.0018770694732666016,0.0004199504852294922,0.7317708333333334,0.966141256852308,gini,30,log2,,0.0005,0.005,12345,best,439,0.7337662337662337,0.9592833876221498,0.8116883116883117,0.9674267100977199,0.7142857142857143,0.9576547231270358,0.738562091503268,0.9691056910569106,0.6601307189542484,0.9772357723577236,3.274069627966268e-05,3.2919036091028608e-06,0.048728127691739016,0.00710746311348287
0.0011598587036132813,0.00040750503540039064,0.6796875,0.7037763830407033,entropy,15,sqrt,20,5,4,12345,random,1567,0.6233766233766234,0.7117263843648208,0.6753246753246753,0.6856677524429967,0.7207792207792207,0.7149837133550488,0.7124183006535948,0.7008130081300813,0.6666666666666666,0.7056910569105691,8.32405273016519e-06,1.52587890625e-06,0.0350062374586624,0.010287631825073884
0.002016496658325195,0.0005766868591308594,0.7200520833333334,0.7457630889012472,entropy,13,sqrt,5,1,3,12345,best,814,0.7467532467532467,0.739413680781759,0.7662337662337663,0.7345276872964169,0.6818181818181818,0.747557003257329,0.7189542483660131,0.7463414634146341,0.6862745098039216,0.7609756097560976,0.00031725160501247166,0.00012397962348558708,0.03303457881871884,0.008961279699279508
0.0017562389373779296,0.0006248950958251953,0.6627604166666666,0.6881533857683854,gini,,sqrt,10,0.005,0.001,12345,random,1889,0.6428571428571429,0.6905537459283387,0.6623376623376623,0.6824104234527687,0.6948051948051948,0.6986970684039088,0.6862745098039216,0.6829268292682927,0.6274509803921569,0.6861788617886179,0.0005381567436326103,0.0001596576561526652,0.025375310681083375,0.006018774399660777
0.00127105712890625,0.00042133331298828126,0.6783854166666666,0.7115833796774449,gini,15,0.5,10,5,2,12345,random,1592,0.6753246753246753,0.7198697068403909,0.6753246753246753,0.6840390879478827,0.6363636363636364,0.7149837133550488,0.7058823529411765,0.6845528455284553,0.6993464052287581,0.7544715447154472,0.00013840393809239377,2.740233422047741e-05,0.0244130638951686,0.02611113927257969
0.0014742374420166015,0.000418853759765625,0.7122395833333334,0.7503201716056249,entropy,15,sqrt,10,0.05,5,12345,best,1028,0.7727272727272727,0.745928338762215,0.7207792207792207,0.742671009771987,0.6753246753246753,0.745928338762215,0.7124183006535948,0.7626016260162601,0.6797385620915033,0.7544715447154472,2.8495000218078753e-05,9.276168052312159e-06,0.03509952998984249,0.007282226161601391
0.0012196063995361327,0.0004102230072021484,0.7057291666666666,0.7259410502899818,gini,15,,45,0.05,2,12345,random,1156,0.7142857142857143,0.754071661237785,0.7727272727272727,0.750814332247557,0.6753246753246753,0.7638436482084691,0.6993464052287581,0.697560975609756,0.6666666666666666,0.6634146341463415,2.663749113577847e-05,4.644207882141474e-06,0.03757972923436505,0.03888855798620229
0.0011761188507080078,0.00041904449462890623,0.6705729166666666,0.6839146209051666,entropy,17,log2,15,0.05,0.05,12345,random,1795,0.6493506493506493,0.6824104234527687,0.6883116883116883,0.6612377850162866,0.6493506493506493,0.6938110749185668,0.6993464052287581,0.6699186991869919,0.6666666666666666,0.7121951219512195,4.7679662532195706e-05,1.5571927623553522e-05,0.020290279747454846,0.017944992962402703
0.0018408775329589843,0.00046024322509765627,0.69921875,0.7796175948730172,entropy,10,sqrt,15,0.01,0.005,12345,best,1293,0.7077922077922078,0.760586319218241,0.7142857142857143,0.7638436482084691,0.7077922077922078,0.7996742671009772,0.6993464052287581,0.7642276422764228,0.6666666666666666,0.8097560975609757,4.330101496947846e-05,4.545236204068174e-06,0.016914555477111248,0.02077718427738181
0.001309823989868164,0.00045928955078125,0.6809895833333334,0.7532565345197426,gini,10,sqrt,45,0.001,0.01,12345,random,1544,0.7012987012987013,0.7719869706840391,0.6883116883116883,0.7345276872964169,0.6428571428571429,0.757328990228013,0.6993464052287581,0.7544715447154472,0.673202614379085,0.7479674796747967,1.265317745969752e-05,1.4068393281619468e-05,0.021546292258417404,0.012228116810398862
0.0012423992156982422,0.00044755935668945314,0.6614583333333334,0.6699160509520404,gini,30,sqrt,15,0.05,0.05,12345,random,1892,0.6493506493506493,0.6514657980456026,0.6688311688311688,0.6547231270358306,0.6688311688311688,0.6856677524429967,0.6862745098039216,0.6943089430894309,0.6339869281045751,0.6634146341463415,8.256308369839451e-06,3.5918215914280855e-06,0.018006362319877636,0.01706830089143759
0.0012281417846679687,0.00043506622314453124,0.6848958333333334,0.7079987288472231,gini,10,log2,10,0.005,5,12345,random,1463,0.6753246753246753,0.7166123778501629,0.7207792207792207,0.6710097719869706,0.6558441558441559,0.7084690553745928,0.7320261437908496,0.7317073170731707,0.6405228758169934,0.7121951219512195,6.923215761498003e-05,1.5001360656059987e-05,0.03578511317985654,0.02011122053257146
0.0013568401336669922,0.0004271030426025391,0.72265625,0.7636678054076957,gini,10,sqrt,20,0.05,5,12345,best,742,0.7662337662337663,0.7785016286644951,0.7337662337662337,0.747557003257329,0.6948051948051948,0.752442996742671,0.6993464052287581,0.759349593495935,0.7189542483660131,0.7804878048780488,2.1679054110849963e-05,1.9721468359789414e-05,0.02592403277545294,0.013469639373095244
0.0031440258026123047,0.00041866302490234375,0.7513020833333334,0.8160822012128918,entropy,10,,15,0.005,2,12345,best,72,0.7467532467532467,0.7931596091205212,0.7987012987012987,0.8208469055374593,0.7857142857142857,0.8387622149837134,0.7124183006535948,0.8,0.7124183006535948,0.8276422764227642,5.359212681071982e-05,5.525964586570029e-06,0.035979579485098175,0.01705756837822006
0.0026160240173339843,0.000417327880859375,0.7421875,0.8857413733746459,gini,13,,40,0.005,3,12345,best,215,0.7857142857142857,0.8762214983713354,0.7272727272727273,0.8925081433224755,0.7207792207792207,0.8859934853420195,0.7254901960784313,0.9008130081300812,0.7516339869281046,0.8731707317073171,7.137578538738817e-05,3.211490295502231e-06,0.024284361231000286,0.01021426416516852
0.0011676788330078126,0.0004093647003173828,0.69921875,0.7223304467572362,gini,5,log2,20,5,0.01,12345,random,1293,0.6948051948051948,0.7100977198697068,0.7337662337662337,0.7068403908794788,0.6688311688311688,0.749185667752443,0.7320261437908496,0.7203252032520325,0.6666666666666666,0.7252032520325203,1.5668001226354304e-05,3.1340936136541337e-06,0.029221897199618454,0.014987050040399467
0.0012383460998535156,0.00044274330139160156,0.6731770833333334,0.7285135457217764,gini,,0.25,30,0.0001,0.001,12345,random,1722,0.6493506493506493,0.7361563517915309,0.6493506493506493,0.7166123778501629,0.7142857142857143,0.7263843648208469,0.6928104575163399,0.7317073170731707,0.6601307189542484,0.7317073170731707,5.454566910314494e-05,1.3861944059801836e-05,0.0260237639129739,0.006707966063227519
0.0017402172088623047,0.0004134654998779297,0.73828125,0.8157501125499854,gini,5,0.5,15,0.005,3,12345,best,302,0.7662337662337663,0.8094462540716613,0.7467532467532467,0.8208469055374593,0.7402597402597403,0.8013029315960912,0.7450980392156863,0.8357723577235773,0.6928104575163399,0.8113821138211382,3.7199105518546626e-05,3.3221556564999305e-06,0.02435186934395076,0.011784792596164757
0.0014172077178955078,0.0004347324371337891,0.6653645833333334,0.8632748073409073,entropy,15,0.33,,0.0001,5,12345,random,1851,0.6818181818181818,0.8566775244299675,0.6883116883116883,0.8566775244299675,0.6363636363636364,0.8566775244299675,0.6535947712418301,0.8731707317073171,0.6666666666666666,0.8731707317073171,5.494819497633837e-05,1.5911363632920376e-05,0.018880085422614473,0.008079988410292942
0.0014779090881347657,0.00045604705810546874,0.7252604166666666,0.781898254813167,entropy,15,,20,0.0001,0.05,12345,random,677,0.7077922077922078,0.7801302931596091,0.7662337662337663,0.760586319218241,0.7467532467532467,0.7964169381107492,0.7320261437908496,0.7853658536585366,0.673202614379085,0.7869918699186992,1.6922950072838024e-05,3.4133014999720152e-06,0.032240626541671126,0.011883481043043993
0.0012854576110839845,0.0004540920257568359,0.6744791666666666,0.7399120785996133,gini,25,0.25,35,0.001,5,12345,random,1700,0.6688311688311688,0.747557003257329,0.6168831168831169,0.7149837133550488,0.7207792207792207,0.7671009771986971,0.6993464052287581,0.7398373983739838,0.6666666666666666,0.7300813008130081,2.1001740357534852e-05,5.943464832642701e-06,0.03516806794225968,0.017411227658298695
0.0015108108520507813,0.00046076774597167967,0.73046875,0.8027361563517916,gini,,,40,7,0.001,12345,random,482,0.7077922077922078,0.8013029315960912,0.7727272727272727,0.7964169381107492,0.7467532467532467,0.8159609120521173,0.6666666666666666,0.7934959349593496,0.7581699346405228,0.8065040650406504,1.9498150688926928e-05,3.9309432688760664e-06,0.0384474605796822,0.007955622451832334
0.0019640445709228514,0.0004425525665283203,0.7174479166666666,0.8287773099229364,entropy,25,sqrt,40,7,0.01,12345,best,906,0.7662337662337663,0.8273615635179153,0.6948051948051948,0.8338762214983714,0.7272727272727273,0.8289902280130294,0.6797385620915033,0.8178861788617886,0.7189542483660131,0.8357723577235773,9.187185777236364e-05,2.2226647961006807e-05,0.029717888147557325,0.00625453436755883
0.0011857032775878906,0.0004116058349609375,0.703125,0.7399067821297105,gini,5,log2,50,0.0005,5,12345,random,1204,0.7337662337662337,0.750814332247557,0.7337662337662337,0.7214983713355049,0.6883116883116883,0.741042345276873,0.7124183006535948,0.7268292682926829,0.6470588235294118,0.759349593495935,1.615584528857292e-05,3.390577094007717e-06,0.03261849577688396,0.014199845232839618
0.0011487483978271484,0.0004123210906982422,0.6666666666666666,0.690105664574561,entropy,30,0.5,5,3,0.005,12345,random,1838,0.6493506493506493,0.6954397394136808,0.6753246753246753,0.6742671009771987,0.6493506493506493,0.7052117263843648,0.6862745098039216,0.6796747967479675,0.673202614379085,0.6959349593495935,1.546996730284261e-05,1.6177082724896426e-05,0.014845365307737142,0.011404290734707875
0.0013857841491699218,0.0004482269287109375,0.7421875,0.7776727311247054,gini,17,,15,7,0.001,12345,random,215,0.7337662337662337,0.760586319218241,0.7662337662337663,0.7850162866449512,0.7532467532467533,0.7980456026058632,0.7124183006535948,0.7544715447154472,0.7450980392156863,0.7902439024390244,5.184792312572193e-05,2.175496047882155e-05,0.018246305620015297,0.01707194523723162
0.0012496471405029296,0.00044846534729003906,0.6653645833333334,0.6956394163290167,entropy,,0.33,10,5,2,12345,random,1851,0.6233766233766234,0.7117263843648208,0.6623376623376623,0.6807817589576547,0.6948051948051948,0.6986970684039088,0.7254901960784313,0.6959349593495935,0.6209150326797386,0.6910569105691057,1.816029794038056e-05,3.166572135140227e-06,0.040533406886534624,0.010099271895314956
0.0012698173522949219,0.0004408836364746094,0.7200520833333334,0.7620423187945236,gini,15,0.25,50,0.0005,0.05,12345,random,814,0.7337662337662337,0.758957654723127,0.7597402597402597,0.749185667752443,0.7207792207792207,0.7719869706840391,0.6993464052287581,0.7642276422764228,0.6862745098039216,0.7658536585365854,6.173982492660684e-05,2.4167413081628078e-05,0.02581421799276422,0.007655150932604803
0.0013753414154052735,0.0004165172576904297,0.7317708333333334,0.7903609544238765,gini,25,,,7,5,12345,random,439,0.7272727272727273,0.7833876221498371,0.7532467532467533,0.7850162866449512,0.7402597402597403,0.7915309446254072,0.7189542483660131,0.7869918699186992,0.7189542483660131,0.8048780487804879,2.715904721374392e-05,5.053124157615263e-06,0.013283052719260766,0.007754462878945292
0.0014680862426757813,0.0004260540008544922,0.7239583333333334,0.8164063451709437,gini,30,0.25,20,5,4,12345,best,713,0.7532467532467533,0.8175895765472313,0.7727272727272727,0.8029315960912052,0.7077922077922078,0.8289902280130294,0.7058823529411765,0.8113821138211382,0.6797385620915033,0.8211382113821138,2.1438378030856988e-05,1.6125981291209056e-05,0.0339996691610272,0.008819937246169765
0.0029155254364013673,0.00041251182556152345,0.7408854166666666,0.7955737401022219,entropy,25,,10,5,2,12345,best,242,0.7467532467532467,0.7915309446254072,0.7727272727272727,0.7931596091205212,0.7597402597402597,0.8045602605863192,0.7124183006535948,0.7869918699186992,0.7124183006535948,0.8016260162601626,2.00501945278384e-05,3.2213870533093522e-06,0.024584216437074636,0.006530058447120909
