mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.6720549106597901,0.03838682174682617,0.7747395833333334,0.9156886734991128,gini,10,0.33,35,1,2,500,12345,5,0.7857142857142857,0.9071661237785016,0.8246753246753247,0.9185667752442996,0.7337662337662337,0.9169381107491856,0.7712418300653595,0.9170731707317074,0.7581699346405228,0.9186991869918699,0.06960289198790601,0.005774573098032006,0.030297472724010944,0.004323388507061146
0.5917754173278809,0.03350586891174316,0.7565104166666666,0.7861274860305607,entropy,5,0.33,45,0.05,4,500,12345,18,0.7857142857142857,0.7785016286644951,0.7857142857142857,0.7768729641693811,0.7467532467532467,0.7866449511400652,0.7189542483660131,0.7853658536585366,0.7450980392156863,0.8032520325203252,0.0020080108416781887,0.00035190024668713365,0.025846910754843157,0.009358395395968281
0.021339941024780273,0.0013195037841796874,0.7434895833333334,0.9368496597018089,gini,,,45,1,0.001,10,12345,20,0.7597402597402597,0.9446254071661238,0.7337662337662337,0.9315960912052117,0.7532467532467533,0.9364820846905537,0.7450980392156863,0.9333333333333333,0.7254901960784313,0.9382113821138212,0.00014795169765788533,8.108567854894162e-05,0.012492410913885373,0.004525840938944931
0.23810858726501466,0.013732147216796876,0.7786458333333334,0.8463509970604592,gini,10,0.25,15,0.0005,0.005,200,12345,2,0.7792207792207793,0.8452768729641694,0.8311688311688312,0.8403908794788274,0.7597402597402597,0.8436482084690554,0.7581699346405228,0.8471544715447155,0.7647058823529411,0.8552845528455284,0.0008850225522704329,3.857120416501965e-05,0.02733393528560347,0.004988703249196599
0.17393183708190918,0.007764673233032227,0.77734375,0.9147125340960252,entropy,10,log2,40,0.005,5,100,12345,4,0.7922077922077922,0.9055374592833876,0.8311688311688312,0.9104234527687296,0.7402597402597403,0.9250814332247557,0.7647058823529411,0.9186991869918699,0.7581699346405228,0.9138211382113821,0.0015222032651982362,0.00037951725543006626,0.03171843354042053,0.00673469039416878
0.4858386039733887,0.014385318756103516,0.7747395833333334,0.8470035221524853,entropy,5,,35,0.001,0.05,200,12345,5,0.7857142857142857,0.8387622149837134,0.8181818181818182,0.8485342019543974,0.7532467532467533,0.8485342019543974,0.7647058823529411,0.8552845528455284,0.7516339869281046,0.8439024390243902,0.0016330222141978626,0.0004255121940152209,0.02493234824745991,0.005491762760143461
0.18446669578552247,0.0073661327362060545,0.7682291666666666,0.8870469532056884,entropy,5,0.5,35,0.0005,0.005,100,12345,11,0.7792207792207793,0.9006514657980456,0.8311688311688312,0.8843648208469055,0.7402597402597403,0.8843648208469055,0.7450980392156863,0.8780487804878049,0.7450980392156863,0.8878048780487805,0.0008321360184483617,3.6200828868019446e-05,0.034476344803157845,0.0074968259041317585
0.6186089992523194,0.03349566459655762,0.7643229166666666,0.7864521596356029,gini,5,0.5,,0.05,4,500,12345,15,0.8051948051948052,0.7687296416938111,0.8051948051948052,0.7882736156351792,0.7467532467532467,0.7833876221498371,0.7254901960784313,0.7967479674796748,0.738562091503268,0.7951219512195122,0.002582370878270208,0.0002778731052942808,0.03412429574549733,0.010079342036340134
0.09289827346801757,0.003976345062255859,0.7799479166666666,0.8671851910701516,entropy,,0.5,20,3,0.001,50,12345,1,0.7922077922077922,0.8631921824104235,0.8311688311688312,0.8648208469055375,0.7532467532467533,0.8664495114006515,0.7777777777777778,0.8699186991869918,0.7450980392156863,0.8715447154471545,0.0019383406351691473,2.732114637259181e-05,0.030693256384641317,0.0031161830973175505
0.13921236991882324,0.007256937026977539,0.7708333333333334,0.8349635867694183,gini,5,0.5,50,0.005,0.05,100,12345,9,0.7792207792207793,0.8355048859934854,0.8246753246753247,0.8403908794788274,0.7467532467532467,0.8371335504885994,0.7647058823529411,0.8292682926829268,0.738562091503268,0.832520325203252,0.0013869905707127738,5.687797892436815e-05,0.030440651760014207,0.003817411566977641
0.12400059700012207,0.007047891616821289,0.75,0.7786377479409973,entropy,10,0.25,5,1,0.01,100,12345,19,0.7662337662337663,0.7736156351791531,0.7987012987012987,0.7638436482084691,0.7402597402597403,0.7736156351791531,0.7320261437908496,0.7804878048780488,0.7124183006535948,0.8016260162601626,0.0013826190807474366,0.00018788636596673867,0.029886447886636674,0.01265852922788126
