mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_coef0,param_degree,param_gamma,param_max_iter,param_random_state,param_tol,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0015282630920410156,0.0005658149719238281,0.3489583333333333,0.3489579195466222,2000,1.0,3,0.001,500000,12345,50,28,0.35064935064935066,0.3485342019543974,0.35064935064935066,0.3485342019543974,0.35064935064935066,0.3485342019543974,0.3464052287581699,0.34959349593495936,0.3464052287581699,0.34959349593495936,7.44275444985818e-05,0.00011810144634691826,0.0020778219476664432,0.0005189459479957075
0.02684788703918457,0.0033742904663085936,0.6510416666666666,1.0,100,0.73,5,0.3,-1,12345,1e-05,11,0.6493506493506493,1.0,0.6493506493506493,1.0,0.6493506493506493,1.0,0.6535947712418301,1.0,0.6535947712418301,1.0,0.0031317454952433884,0.0001527645459396555,0.0020778219476664432,0.0
0.001575326919555664,0.000627899169921875,0.3489583333333333,0.3489579195466222,1,4.2,3,0.3,-1,12345,100,28,0.35064935064935066,0.3485342019543974,0.35064935064935066,0.3485342019543974,0.35064935064935066,0.3485342019543974,0.3464052287581699,0.34959349593495936,0.3464052287581699,0.34959349593495936,0.0003050813901479588,0.00028149283495457113,0.0020778219476664432,0.0005189459479957075
0.0013178348541259765,0.00048308372497558595,0.3489583333333333,0.3489579195466222,1000,0.73,6,0.15,-1,12345,50,28,0.35064935064935066,0.3485342019543974,0.35064935064935066,0.3485342019543974,0.35064935064935066,0.3485342019543974,0.3464052287581699,0.34959349593495936,0.3464052287581699,0.34959349593495936,1.955823040611486e-05,8.681055868320677e-06,0.0020778219476664432,0.0005189459479957075
0.027077341079711915,0.0036160945892333984,0.6510416666666666,1.0,100,0.73,5,auto,-1,12345,1e-05,11,0.6493506493506493,1.0,0.6493506493506493,1.0,0.6493506493506493,1.0,0.6535947712418301,1.0,0.6535947712418301,1.0,0.0008045624154783135,9.183294410063023e-05,0.0020778219476664432,0.0
0.012420845031738282,0.0028049468994140623,0.6510416666666666,1.0,10,0.0,2,0.2,-1,12345,1,11,0.6493506493506493,1.0,0.6493506493506493,1.0,0.6493506493506493,1.0,0.6535947712418301,1.0,0.6535947712418301,1.0,5.0063223847353466e-05,8.163103983041177e-05,0.0020778219476664432,0.0
0.022760868072509766,0.0037264347076416014,0.6510416666666666,1.0,2000,1.0,2,0.1,500000,12345,0.01,11,0.6493506493506493,1.0,0.6493506493506493,1.0,0.6493506493506493,1.0,0.6535947712418301,1.0,0.6535947712418301,1.0,0.0004200714529860108,0.00013418721227454944,0.0020778219476664432,0.0
0.0013729095458984374,0.0004937648773193359,0.3489583333333333,0.3489579195466222,1000,1.0,3,0.001,500000,12345,50,28,0.35064935064935066,0.3485342019543974,0.35064935064935066,0.3485342019543974,0.35064935064935066,0.3485342019543974,0.3464052287581699,0.34959349593495936,0.3464052287581699,0.34959349593495936,3.191875420468375e-05,3.920517881602185e-06,0.0020778219476664432,0.0005189459479957075
0.0012717247009277344,0.00046062469482421875,0.3489583333333333,0.3489579195466222,10,0.73,5,0.2,-1,12345,100,28,0.35064935064935066,0.3485342019543974,0.35064935064935066,0.3485342019543974,0.35064935064935066,0.3485342019543974,0.3464052287581699,0.34959349593495936,0.3464052287581699,0.34959349593495936,6.560783727915654e-05,2.3596454318930772e-05,0.0020778219476664432,0.0005189459479957075
0.0012919902801513672,0.00045194625854492185,0.3489583333333333,0.3489579195466222,200,2.0,5,0.2,500000,12345,10,28,0.35064935064935066,0.3485342019543974,0.35064935064935066,0.3485342019543974,0.35064935064935066,0.3485342019543974,0.3464052287581699,0.34959349593495936,0.3464052287581699,0.34959349593495936,8.554384195095456e-05,2.3557203456846885e-05,0.0020778219476664432,0.0005189459479957075
0.02963986396789551,0.00399322509765625,0.65625,1.0,1000,0.73,6,0.05,-1,12345,1e-05,3,0.6493506493506493,1.0,0.6623376623376623,1.0,0.6493506493506493,1.0,0.6601307189542484,1.0,0.6601307189542484,1.0,0.0011126913563258242,0.0001382749982817072,0.005702779079645997,0.0
0.029607629776000975,0.0038762569427490236,0.65625,1.0,10,0.73,3,0.05,500000,12345,1e-05,3,0.6493506493506493,1.0,0.6623376623376623,1.0,0.6493506493506493,1.0,0.6601307189542484,1.0,0.6601307189542484,1.0,0.0010927766593653318,3.616721045925975e-05,0.005702779079645997,0.0
0.01952471733093262,0.00316314697265625,0.6510416666666666,1.0,10,2.0,2,0.3,500000,12345,0.01,11,0.6493506493506493,1.0,0.6493506493506493,1.0,0.6493506493506493,1.0,0.6535947712418301,1.0,0.6535947712418301,1.0,0.0005756180515270607,5.2330874054929077e-05,0.0020778219476664432,0.0
0.0998445987701416,0.002250337600708008,0.6809895833333334,0.9993485342019544,2000,4.2,7,0.001,-1,12345,1e-05,1,0.6883116883116883,0.998371335504886,0.6753246753246753,1.0,0.6688311688311688,0.998371335504886,0.6928104575163399,1.0,0.6797385620915033,1.0,0.005456450427837285,0.00010204110188073941,0.008658935002551287,0.0007978793950433809
0.0013003826141357421,0.0004505157470703125,0.3489583333333333,0.3489579195466222,1000,0.73,2,0.15,500000,12345,100,28,0.35064935064935066,0.3485342019543974,0.35064935064935066,0.3485342019543974,0.35064935064935066,0.3485342019543974,0.3464052287581699,0.34959349593495936,0.3464052287581699,0.34959349593495936,9.366353913900231e-05,1.257856294629587e-05,0.0020778219476664432,0.0005189459479957075
0.028104639053344725,0.0037149906158447264,0.6510416666666666,1.0,2000,2.0,7,auto,500000,12345,1e-05,11,0.6493506493506493,1.0,0.6493506493506493,1.0,0.6493506493506493,1.0,0.6535947712418301,1.0,0.6535947712418301,1.0,0.00287563555055485,0.00019182610675812068,0.0020778219476664432,0.0
0.023354434967041017,0.002243709564208984,0.6796875,0.9993485342019544,2000,0.5,6,0.001,-1,12345,1,2,0.6688311688311688,0.998371335504886,0.6688311688311688,1.0,0.6753246753246753,0.998371335504886,0.6928104575163399,1.0,0.6928104575163399,1.0,0.0015351112253484804,4.936575139689493e-05,0.010940714197429017,0.0007978793950433809
0.0012529850006103515,0.0004410743713378906,0.3489583333333333,0.3489579195466222,200,0.73,3,0.1,-1,12345,50,28,0.35064935064935066,0.3485342019543974,0.35064935064935066,0.3485342019543974,0.35064935064935066,0.3485342019543974,0.3464052287581699,0.34959349593495936,0.3464052287581699,0.34959349593495936,3.250218051961718e-05,1.206313194339134e-06,0.0020778219476664432,0.0005189459479957075
0.014220809936523438,0.003087425231933594,0.65625,1.0,100,1.0,6,0.05,-1,12345,1,3,0.6493506493506493,1.0,0.6623376623376623,1.0,0.6493506493506493,1.0,0.6535947712418301,1.0,0.6666666666666666,1.0,0.00038214018434825335,6.588737011613404e-05,0.007038635265376656,0.0
0.0013421535491943359,0.0004968643188476562,0.3489583333333333,0.3489579195466222,200,1.0,4,0.2,-1,12345,100,28,0.35064935064935066,0.3485342019543974,0.35064935064935066,0.3485342019543974,0.35064935064935066,0.3485342019543974,0.3464052287581699,0.34959349593495936,0.3464052287581699,0.34959349593495936,3.657891158760427e-05,1.024034858363809e-05,0.0020778219476664432,0.0005189459479957075
0.0012454986572265625,0.0004472255706787109,0.3489583333333333,0.3489579195466222,200,0.0,7,0.001,-1,12345,10,28,0.35064935064935066,0.3485342019543974,0.35064935064935066,0.3485342019543974,0.35064935064935066,0.3485342019543974,0.3464052287581699,0.34959349593495936,0.3464052287581699,0.34959349593495936,2.717093275536617e-05,1.3053847223105372e-05,0.0020778219476664432,0.0005189459479957075
0.0012249946594238281,0.00044198036193847655,0.3489583333333333,0.3489579195466222,200,2.0,9,0.2,-1,12345,100,28,0.35064935064935066,0.3485342019543974,0.35064935064935066,0.3485342019543974,0.35064935064935066,0.3485342019543974,0.3464052287581699,0.34959349593495936,0.3464052287581699,0.34959349593495936,1.4794252261660783e-05,4.96781025529442e-06,0.0020778219476664432,0.0005189459479957075
