mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.46631669998168945,0.02776823043823242,0.8875,1.0,gini,10,0.33,35,1,2,500,12345,8,0.8823529411764706,1.0,0.8235294117647058,1.0,0.9375,1.0,0.8666666666666667,1.0,0.9333333333333333,1.0,0.004335177762257723,0.0004034706719344676,0.04301732437144868,0.0
0.4703270435333252,0.027984428405761718,0.875,0.9561431623931623,entropy,5,0.33,45,0.05,4,500,12345,10,0.8823529411764706,0.9365079365079365,0.8235294117647058,0.9523809523809523,0.8125,0.96875,0.9333333333333333,0.9692307692307692,0.9333333333333333,0.9538461538461539,0.005809519609742716,0.0004073333077092178,0.05130048923819765,0.012125925739388284
0.010894393920898438,0.001047515869140625,0.8375,0.9937003968253968,gini,,,45,1,0.001,10,12345,20,0.8235294117647058,0.9841269841269841,0.8235294117647058,1.0,0.9375,0.984375,0.8,1.0,0.8,1.0,0.00016414294814310267,2.195968427142187e-05,0.05109103754717708,0.0077158052997423785
0.18860650062561035,0.011507654190063476,0.8625,1.0,gini,10,0.25,15,0.0005,0.005,200,12345,14,0.8823529411764706,1.0,0.8235294117647058,1.0,0.875,1.0,0.8666666666666667,1.0,0.8666666666666667,1.0,0.002919536016796978,0.0002539790929758676,0.02107700633577814,0.0
0.09750666618347167,0.006111001968383789,0.9,0.9905257936507936,entropy,10,log2,40,0.005,5,100,12345,1,0.8823529411764706,0.9841269841269841,0.8823529411764706,0.9841269841269841,0.875,0.984375,0.9333333333333333,1.0,0.9333333333333333,1.0,0.0019416910819515956,0.00016626858383707337,0.0259618876016968,0.007736187188445218
0.2069614887237549,0.011620140075683594,0.9,0.993798076923077,entropy,5,,35,0.001,0.05,200,12345,1,1.0,1.0,0.8823529411764706,1.0,0.8125,0.984375,0.8666666666666667,0.9846153846153847,0.9333333333333333,1.0,0.00655483805139777,0.0003391898128992722,0.06433578426703837,0.007596153846153832
0.10554070472717285,0.006459665298461914,0.9,1.0,entropy,5,0.5,35,0.0005,0.005,100,12345,1,0.9411764705882353,1.0,0.8823529411764706,1.0,0.875,1.0,0.9333333333333333,1.0,0.8666666666666667,1.0,0.007953401930937005,0.0006891058744403894,0.031114904063839897,0.0
0.49269580841064453,0.029758787155151366,0.8625,0.943689713064713,gini,5,0.5,,0.05,4,500,12345,14,0.8823529411764706,0.9365079365079365,0.8235294117647058,0.9365079365079365,0.875,0.953125,0.8666666666666667,0.9538461538461539,0.8666666666666667,0.9384615384615385,0.01981714059174627,0.0017132818124798422,0.02107700633577814,0.00803327539179781
0.048612546920776364,0.0031670570373535157,0.8625,0.971820818070818,entropy,,0.5,20,3,0.001,50,12345,14,0.8823529411764706,0.9523809523809523,0.8823529411764706,0.9841269841269841,0.875,0.96875,0.8666666666666667,0.9846153846153847,0.8,0.9692307692307692,0.000540285210717751,2.447229384774659e-05,0.030568550415579123,0.011909570191431728
0.0980806827545166,0.006252288818359375,0.875,0.996875,gini,5,0.5,50,0.005,0.05,100,12345,10,0.9411764705882353,1.0,0.8235294117647058,1.0,0.875,0.984375,0.8666666666666667,1.0,0.8666666666666667,1.0,0.002185090933817151,0.00015037443660543583,0.03898214774915892,0.00625
0.09706997871398926,0.006622171401977539,0.9,0.9688415750915752,entropy,10,0.25,5,1,0.01,100,12345,1,0.8823529411764706,0.9682539682539683,0.8823529411764706,0.9841269841269841,0.875,0.96875,0.9333333333333333,0.9692307692307692,0.9333333333333333,0.9538461538461539,0.001970803399855581,0.0010872493128873753,0.0259618876016968,0.00958135196700731
0.21477251052856444,0.012233352661132813,0.9,1.0,entropy,40,,20,0.001,0.005,200,12345,1,1.0,1.0,0.8823529411764706,1.0,0.8125,1.0,0.8666666666666667,1.0,0.9333333333333333,1.0,0.020359982877787158,0.0012960118397989594,0.06433578426703837,0.0
0.09611659049987793,0.005999755859375,0.9,1.0,entropy,20,log2,30,0.001,3,100,12345,1,0.8823529411764706,1.0,0.8823529411764706,1.0,0.875,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,0.0006447536561900527,2.1335146022861525e-05,0.0259618876016968,0.0
0.4949777126312256,0.03707075119018555,0.8875,1.0,entropy,30,log2,20,0.005,3,500,12345,8,0.8823529411764706,1.0,0.8235294117647058,1.0,0.875,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,0.031604414202225484,0.0096563981777502,0.041161149110276705,0.0
0.01924757957458496,0.001527690887451172,0.8625,0.9968253968253968,gini,5,0.25,20,0.005,3,20,12345,14,0.8823529411764706,0.9841269841269841,0.8235294117647058,1.0,0.875,1.0,0.8666666666666667,1.0,0.8666666666666667,1.0,0.00016418213126788759,4.1091080709096e-06,0.02107700633577814,0.006349206349206371
0.04746513366699219,0.0032178401947021485,0.875,0.9500389194139194,entropy,,log2,,0.05,0.05,50,12345,10,0.8235294117647058,0.9365079365079365,0.8823529411764706,0.9682539682539683,0.8125,0.953125,0.9333333333333333,0.9384615384615385,0.9333333333333333,0.9538461538461539,0.00030546377421403453,6.468742026911031e-05,0.05130048923819765,0.011601122185113775
0.19305362701416015,0.012263822555541991,0.875,0.9530662393162392,gini,5,log2,50,3,0.05,200,12345,10,0.8823529411764706,0.9365079365079365,0.8235294117647058,0.9523809523809523,0.875,0.96875,0.9333333333333333,0.9692307692307692,0.8666666666666667,0.9384615384615385,0.013021505650393221,0.0017041214031845605,0.03500700210070026,0.014108271855005017
0.019898033142089842,0.0015426158905029296,0.85,0.9187347374847376,entropy,17,,40,7,0.01,20,12345,18,0.8823529411764706,0.9047619047619048,0.8235294117647058,0.9365079365079365,0.8125,0.90625,0.8666666666666667,0.9230769230769231,0.8666666666666667,0.9230769230769231,5.752375805826566e-05,2.0142856833327317e-05,0.02750891121215872,0.011871853093054057
0.12375516891479492,0.007347536087036133,0.9,1.0,entropy,5,,10,1,0.005,100,12345,1,1.0,1.0,0.8823529411764706,1.0,0.875,1.0,0.8,1.0,0.9333333333333333,1.0,0.015093485051311485,0.0011551986782730862,0.06632880071222129,0.0
0.049196481704711914,0.003249454498291016,0.85,0.8750717338217339,gini,30,0.33,40,7,2,50,12345,18,0.8235294117647058,0.8412698412698413,0.8235294117647058,0.9047619047619048,0.8125,0.90625,0.9333333333333333,0.8615384615384616,0.8666666666666667,0.8615384615384616,0.0031771414489749055,0.00021041286683794297,0.04396829294291202,0.025932440648020173
