mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_random_state,param_splitter,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0038512229919433595,0.0006766796112060546,0.6569468267581475,0.822033258220355,entropy,40,0.5,30,0.0001,3,12345,best,1904,0.6271186440677966,0.8043010752688172,0.6495726495726496,0.8390557939914163,0.6724137931034483,0.8693790149892934,0.6896551724137931,0.7965738758029979,0.646551724137931,0.8008565310492506,0.0011752300772736469,0.00027181246363183347,0.021747630366570896,0.028080069968146326
0.001524972915649414,0.0004384040832519531,0.7015437392795884,0.777443069629563,gini,25,log2,50,1,4,12345,random,558,0.6694915254237288,0.789247311827957,0.7350427350427351,0.7510729613733905,0.7155172413793104,0.7858672376873662,0.6637931034482759,0.7815845824411135,0.7241379310344828,0.7794432548179872,0.00027414688225214,8.004040877499302e-05,0.029276658804631376,0.013615008042178623
0.0016077041625976562,0.0005076408386230468,0.692967409948542,0.7191207067833809,entropy,5,0.33,,0.005,0.001,12345,random,838,0.711864406779661,0.7161290322580646,0.7094017094017094,0.7145922746781116,0.6206896551724138,0.7237687366167024,0.7327586206896551,0.7173447537473233,0.6896551724137931,0.7237687366167024,7.613155845664786e-05,1.3707223021668552e-05,0.03851154634639232,0.003894077185846106
0.0016427040100097656,0.0005123615264892578,0.7101200686106347,0.7208420519628442,entropy,5,0.5,35,0.0001,2,12345,random,316,0.711864406779661,0.7225806451612903,0.7008547008547008,0.721030042918455,0.7155172413793104,0.7194860813704497,0.7155172413793104,0.7173447537473233,0.7068965517241379,0.7237687366167024,1.536274308546735e-05,7.648741510310282e-06,0.005612798582075466,0.002266860429224866
0.0022507667541503905,0.0005365848541259765,0.6723842195540308,0.8481906033575235,gini,30,sqrt,35,0.0001,4,12345,best,1606,0.6694915254237288,0.8387096774193549,0.6666666666666666,0.8476394849785408,0.6637931034482759,0.854389721627409,0.6379310344827587,0.8436830835117773,0.7241379310344828,0.8565310492505354,4.4361388654794164e-05,9.261694920354142e-06,0.02814347483341043,0.006610620671174127
0.001903867721557617,0.0005096912384033204,0.7066895368782161,0.7551437982185348,gini,,0.33,35,0.001,0.01,12345,random,409,0.7033898305084746,0.7591397849462366,0.7350427350427351,0.7424892703862661,0.7155172413793104,0.7708779443254818,0.6896551724137931,0.7494646680942184,0.6896551724137931,0.7537473233404711,0.0003678456591550335,1.5131148295843514e-05,0.01716135576331365,0.009569440938261434
0.0019108772277832032,0.000523233413696289,0.6861063464837049,0.7517222730979819,entropy,5,0.25,40,0.05,0.005,12345,best,1050,0.6440677966101694,0.7612903225806451,0.7008547008547008,0.7489270386266095,0.6810344827586207,0.7751605995717344,0.6982758620689655,0.734475374732334,0.7068965517241379,0.7387580299785867,1.966246564658525e-05,9.201351084924534e-06,0.02284580372055076,0.014928115470055963
0.0028238773345947267,0.0005350589752197265,0.6895368782161235,0.983703825801135,gini,30,log2,,0.0005,0.005,12345,best,955,0.6694915254237288,0.9849462365591398,0.7350427350427351,0.9785407725321889,0.6379310344827587,0.9828693790149893,0.7327586206896551,0.9828693790149893,0.6724137931034483,0.9892933618843683,0.0006013061656305555,2.7920597078216984e-05,0.03816853147997441,0.003488157681446381
0.0016579151153564454,0.0005666255950927734,0.7015437392795884,0.7255437666752342,entropy,15,sqrt,20,5,4,12345,random,558,0.711864406779661,0.7139784946236559,0.7008547008547008,0.7167381974248928,0.6896551724137931,0.7451820128479657,0.6896551724137931,0.7194860813704497,0.7155172413793104,0.7323340471092077,7.365203345169103e-05,8.910408852021033e-05,0.010805063208276757,0.01165982624067945
0.0020611763000488283,0.0004975318908691407,0.692967409948542,0.7217031939469276,entropy,13,sqrt,5,1,3,12345,best,838,0.6101694915254238,0.7311827956989247,0.7094017094017094,0.7145922746781116,0.7155172413793104,0.7130620985010707,0.7068965517241379,0.715203426124197,0.7241379310344828,0.734475374732334,8.178339734478697e-05,1.1664883296983633e-05,0.042129143396964226,0.009170301374469706
