mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.6264294624328614,0.033040428161621095,0.6998284734133791,0.9463977837471564,gini,10,0.33,35,1,2,500,12345,12,0.6694915254237288,0.946236559139785,0.7094017094017094,0.9463519313304721,0.646551724137931,0.9464668094218416,0.7155172413793104,0.9464668094218416,0.7586206896551724,0.9464668094218416,0.006452078535235714,0.0001737870687499715,0.03880916654112439,9.207545757158703e-05
0.5770464420318604,0.03211331367492676,0.6981132075471698,0.7615861932048892,entropy,5,0.33,45,0.05,4,500,12345,14,0.6610169491525424,0.7763440860215054,0.717948717948718,0.7510729613733905,0.6810344827586207,0.7794432548179872,0.6896551724137931,0.7558886509635975,0.7413793103448276,0.7451820128479657,0.0018829544887366363,0.0005797849849338068,0.028323586307304,0.013775029685320636
0.02034597396850586,0.001168966293334961,0.7049742710120068,0.957977519073963,gini,,,45,1,0.001,10,12345,6,0.6864406779661016,0.9591397849462365,0.6666666666666666,0.9592274678111588,0.7068965517241379,0.9550321199143469,0.7155172413793104,0.961456102783726,0.75,0.9550321199143469,0.0006699535159399745,3.882842553801839e-05,0.028111448293936293,0.002544190670851215
0.2215135097503662,0.012954902648925782,0.7032590051457976,0.845631139245785,gini,10,0.25,15,0.0005,0.005,200,12345,8,0.6779661016949152,0.8494623655913979,0.7264957264957265,0.8497854077253219,0.6724137931034483,0.8693790149892934,0.6896551724137931,0.8329764453961456,0.75,0.8265524625267666,0.0010518426458618283,5.784614530783263e-05,0.029977762859847518,0.014966863572688976
0.14936566352844238,0.007194375991821289,0.6946826758147513,0.9524054721301798,entropy,10,log2,40,0.005,5,100,12345,18,0.6949152542372882,0.9591397849462365,0.6837606837606838,0.9484978540772532,0.6810344827586207,0.9635974304068522,0.6724137931034483,0.9486081370449678,0.7413793103448276,0.9421841541755889,0.001468649970996226,0.00012993997170073065,0.024362983091154488,0.007807374366546853
0.4212181568145752,0.013613653182983399,0.692967409948542,0.8327656883203718,entropy,5,,35,0.001,0.05,200,12345,20,0.6779661016949152,0.8365591397849462,0.7008547008547008,0.8347639484978541,0.646551724137931,0.8436830835117773,0.6982758620689655,0.8329764453961456,0.7413793103448276,0.815845824411135,0.00824999108884856,0.0006204702946465741,0.030961848211781537,0.009207595220994486
0.1637650966644287,0.00702509880065918,0.7066895368782161,0.8773642232368386,entropy,5,0.5,35,0.0005,0.005,100,12345,4,0.6694915254237288,0.8924731182795699,0.7264957264957265,0.8605150214592274,0.6724137931034483,0.8950749464668094,0.7155172413793104,0.8907922912205567,0.75,0.8479657387580299,0.00411039838777197,0.0002562455008530171,0.03132535411109131,0.01934129223557548
0.5930111885070801,0.03204212188720703,0.6998284734133791,0.7697287562739497,gini,5,0.5,,0.05,4,500,12345,12,0.6440677966101694,0.7784946236559139,0.7264957264957265,0.759656652360515,0.6810344827586207,0.7815845824411135,0.6810344827586207,0.7708779443254818,0.7672413793103449,0.7580299785867237,0.005903957417817508,0.0004897270738831956,0.04262411352445561,0.009560652225242133
0.0857325553894043,0.0037506103515625,0.7015437392795884,0.8850739098464409,entropy,,0.5,20,3,0.001,50,12345,9,0.6440677966101694,0.886021505376344,0.717948717948718,0.8755364806866953,0.6810344827586207,0.9079229122055674,0.6982758620689655,0.8843683083511777,0.7672413793103449,0.8715203426124197,0.0018432228618356693,0.00016637472330708388,0.040831982404143714,0.01263435363847377
0.13027453422546387,0.007155752182006836,0.7015437392795884,0.8319128452284286,gini,5,0.5,50,0.005,0.05,100,12345,9,0.6694915254237288,0.843010752688172,0.6923076923076923,0.8304721030042919,0.6724137931034483,0.854389721627409,0.7155172413793104,0.8201284796573876,0.7586206896551724,0.8115631691648822,0.000633215544709246,0.0003412754755062614,0.032877750750779686,0.015384601708199604
0.1117668628692627,0.006586027145385742,0.7049742710120068,0.7238583346105801,entropy,10,0.25,5,1,0.01,100,12345,6,0.6610169491525424,0.7462365591397849,0.7094017094017094,0.7167381974248928,0.7155172413793104,0.7173447537473233,0.7241379310344828,0.7194860813704497,0.7155172413793104,0.7194860813704497,0.00071739842860132,5.1660283323791494e-05,0.022634647774496756,0.01124403147519927
0.4913449287414551,0.01334080696105957,0.6963979416809606,0.9120969644217857,entropy,40,,20,0.001,0.005,200,12345,16,0.6610169491525424,0.9139784946236559,0.7008547008547008,0.9184549356223176,0.6551724137931034,0.9186295503211992,0.7068965517241379,0.9014989293361885,0.7586206896551724,0.9079229122055674,0.005529170810240553,7.583668893801758e-05,0.03725312242025564,0.00657844498038595
0.152445650100708,0.007070112228393555,0.7084048027444254,0.9391053146014354,entropy,20,log2,30,0.001,3,100,12345,3,0.652542372881356,0.9419354838709677,0.717948717948718,0.927038626609442,0.6724137931034483,0.9528907922912205,0.7413793103448276,0.9357601713062098,0.7586206896551724,0.9379014989293362,0.0031732124417178666,0.0002816734205215566,0.04032008993837516,0.008441485274095668
0.7053894996643066,0.033492326736450195,0.7101200686106347,0.8812204391495444,entropy,30,log2,20,0.005,3,500,12345,2,0.6864406779661016,0.886021505376344,0.7264957264957265,0.8776824034334764,0.6551724137931034,0.9036402569593148,0.7155172413793104,0.860813704496788,0.7672413793103449,0.8779443254817987,0.005008424864435167,0.001474690736241101,0.03772338847028723,0.013895207117690541
0.02325019836425781,0.0017508983612060547,0.7118353344768439,0.8357746029590818,gini,5,0.25,20,0.005,3,20,12345,1,0.711864406779661,0.8516129032258064,0.7008547008547008,0.8304721030042919,0.646551724137931,0.8501070663811563,0.7413793103448276,0.8179871520342612,0.7586206896551724,0.828693790149893,0.0004976742270116301,1.0979065547644528e-05,0.038488877485884206,0.013045451999039765
0.05953335762023926,0.0037728309631347655,0.7015437392795884,0.762867297868663,entropy,,log2,,0.05,0.05,50,12345,9,0.6779661016949152,0.7677419354838709,0.7094017094017094,0.759656652360515,0.6724137931034483,0.7751605995717344,0.6896551724137931,0.7644539614561028,0.7586206896551724,0.7473233404710921,0.0009402401391552734,0.00019429224893659588,0.03114595187226194,0.00926636623643311
0.23773689270019532,0.013640785217285156,0.6946826758147513,0.8276228259259446,gini,5,log2,50,3,0.05,200,12345,18,0.6610169491525424,0.8365591397849462,0.7350427350427351,0.8261802575107297,0.6293103448275862,0.8265524625267666,0.6982758620689655,0.8329764453961456,0.75,0.815845824411135,0.001742194485464934,0.0005390433615684923,0.04492252798711831,0.007077335557072361
0.044698333740234374,0.001786947250366211,0.6963979416809606,0.882506146842562,entropy,17,,40,7,0.01,20,12345,16,0.6864406779661016,0.8817204301075269,0.6837606837606838,0.8884120171673819,0.646551724137931,0.8758029978586723,0.7155172413793104,0.8822269807280514,0.75,0.8843683083511777,0.0008436049401318557,3.472311029808284e-05,0.03450944232698676,0.004098156673071082
0.202200984954834,0.0068819522857666016,0.6981132075471698,0.802751212198561,entropy,5,,10,1,0.005,100,12345,14,0.6694915254237288,0.810752688172043,0.717948717948718,0.8025751072961373,0.6637931034482759,0.8308351177730193,0.6982758620689655,0.7837259100642399,0.7413793103448276,0.7858672376873662,0.0025140112100537266,0.00028066389664131643,0.02918215775840349,0.017319301946688494
0.06098713874816895,0.0037427425384521486,0.7066895368782161,0.8752228877081233,gini,30,0.33,40,7,2,50,12345,4,0.6694915254237288,0.8881720430107527,0.717948717948718,0.869098712446352,0.6810344827586207,0.8779443254817987,0.7155172413793104,0.8715203426124197,0.75,0.8693790149892934,0.0009602062833716857,4.4611015052327545e-05,0.028726210823220202,0.007217368741918313
