mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_coef0,param_degree,param_gamma,param_max_iter,param_random_state,param_tol,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0011112213134765625,0.0003594875335693359,0.2864493996569468,0.28644858703900405,2000,1.0,3,0.001,500000,12345,50,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,7.274656815813108e-05,1.2568436150827638e-05,0.0025176599482512356,0.0006299329778338743
0.01481485366821289,0.0019687652587890626,0.7204116638078902,1.0,100,0.73,5,0.3,-1,12345,1e-05,5,0.7203389830508474,1.0,0.717948717948718,1.0,0.7155172413793104,1.0,0.7155172413793104,1.0,0.7327586206896551,1.0,0.0005824053406469681,7.043848443146958e-05,0.006409669914762945,0.0
0.0010251998901367188,0.0003330230712890625,0.2864493996569468,0.28644858703900405,1,4.2,3,0.3,-1,12345,100,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,3.700668026940719e-05,6.27072590942648e-06,0.0025176599482512356,0.0006299329778338743
0.0009775161743164062,0.00033459663391113283,0.2864493996569468,0.28644858703900405,1000,0.73,6,0.15,-1,12345,50,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,4.1514966697080455e-06,1.1883294781783953e-05,0.0025176599482512356,0.0006299329778338743
0.016131782531738283,0.002321004867553711,0.7169811320754716,1.0,100,0.73,5,auto,-1,12345,1e-05,18,0.7203389830508474,1.0,0.7094017094017094,1.0,0.7068965517241379,1.0,0.7241379310344828,1.0,0.7241379310344828,1.0,0.00066082626167059,0.00046664578945896507,0.007377575695138117,0.0
0.007807254791259766,0.001793813705444336,0.7186963979416809,1.0,10,0.0,2,0.2,-1,12345,1,16,0.7203389830508474,1.0,0.7094017094017094,1.0,0.7068965517241379,1.0,0.7241379310344828,1.0,0.7327586206896551,1.0,0.0003510898275973372,0.00016955751392053664,0.009530209168000339,0.0
0.012550640106201171,0.00206146240234375,0.7169811320754716,1.0,2000,1.0,2,0.1,500000,12345,0.01,18,0.7203389830508474,1.0,0.7094017094017094,1.0,0.7068965517241379,1.0,0.7241379310344828,1.0,0.7241379310344828,1.0,0.00034974019163863787,3.6897337629385654e-05,0.007377575695138117,0.0
0.0010075092315673829,0.0003279209136962891,0.2864493996569468,0.28644858703900405,1000,1.0,3,0.001,500000,12345,50,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,2.8586934460650688e-05,1.5929501617899003e-06,0.0025176599482512356,0.0006299329778338743
0.0009810447692871094,0.00033211708068847656,0.2864493996569468,0.28644858703900405,10,0.73,5,0.2,-1,12345,100,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,5.185042274119639e-06,8.888889256623863e-06,0.0025176599482512356,0.0006299329778338743
0.0009865760803222656,0.00033121109008789064,0.2864493996569468,0.28644858703900405,200,2.0,5,0.2,500000,12345,10,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,1.297925868976694e-05,9.792475370478533e-06,0.0025176599482512356,0.0006299329778338743
