mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_random_state,param_splitter,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0022368431091308594,0.0005178451538085938,0.978,0.9992493742177722,entropy,40,0.5,30,0.0001,3,12345,best,1316,0.9751243781094527,0.9974968710888611,0.985,0.99875,0.985,1.0,0.97,1.0,0.9748743718592965,1.0,0.00047325481391690283,4.7688007161634656e-05,0.006000520823749711,0.0010010953022618857
0.0018893241882324218,0.000594329833984375,0.976,0.9925009332045832,gini,25,log2,50,1,4,12345,random,1532,0.9701492537313433,0.9949937421777222,0.975,0.99375,0.98,0.98875,0.98,0.99375,0.9748743718592965,0.9912609238451935,0.0005678205951338192,0.00013683858995870203,0.0037057547565182694,0.0022334527266994787
0.0014834403991699219,0.0005894660949707031,0.979,0.979000299609843,entropy,5,0.33,,0.005,0.001,12345,random,628,0.9751243781094527,0.9799749687108886,0.98,0.97875,0.98,0.97875,0.98,0.97875,0.9798994974874372,0.978776529338327,0.0002452144995999931,0.0001902431228843041,0.0019442529421316453,0.00048744285306281384
0.001635122299194336,0.0005355358123779296,0.982,0.989249370311516,entropy,5,0.5,35,0.0001,2,12345,random,263,0.9751243781094527,0.9912390488110138,0.985,0.9825,1.0,0.9875,0.975,0.99125,0.9748743718592965,0.9937578027465668,0.00031837840372838657,0.00010778253972774444,0.0097982779178922,0.0039217750774875266
0.0022076129913330077,0.0006693840026855469,0.972,0.9977499984374976,gini,30,sqrt,35,0.0001,4,12345,best,1902,0.9751243781094527,0.9974968710888611,0.975,1.0,0.985,0.99625,0.96,0.9975,0.964824120603015,0.9975031210986267,0.0006548184847601389,0.00020377180564820166,0.008752671891007395,0.0012247467850609376
0.0017330646514892578,0.0005607128143310547,0.985,0.9862493671865111,gini,,0.33,35,0.001,0.01,12345,random,33,0.9800995024875622,0.986232790988736,0.995,0.98375,0.99,0.9875,0.98,0.985,0.9798994974874372,0.9887640449438202,0.0004568803480207156,0.00010267970485418133,0.006324871548102972,0.0017717627452541215
0.0022337913513183595,0.000685882568359375,0.979,0.979000299609843,entropy,5,0.25,40,0.05,0.005,12345,best,628,0.9751243781094527,0.9799749687108886,0.98,0.97875,0.98,0.97875,0.98,0.97875,0.9798994974874372,0.978776529338327,0.0009316402297169381,0.00029577134617309606,0.0019442529421316453,0.00048744285306281384
0.0021074771881103515,0.000621175765991211,0.974,0.9967506226572229,gini,30,log2,,0.0005,0.005,12345,best,1764,0.9800995024875622,0.9974968710888611,0.975,0.9975,0.985,0.99875,0.96,0.995,0.9698492462311558,0.9950062421972534,0.0004173605749601936,7.700714899878045e-05,0.008631715510998766,0.0014982326761558932
0.001737499237060547,0.0005453586578369141,0.979,0.9797502996098431,entropy,15,sqrt,20,5,4,12345,random,628,0.9751243781094527,0.9799749687108886,0.98,0.97875,0.98,0.97875,0.98,0.9825,0.9798994974874372,0.978776529338327,0.0003805559538951455,9.729366493169383e-05,0.0019442529421316453,0.0014533241621322323
0.001954507827758789,0.0005697727203369141,0.973,0.987249680077625,entropy,13,sqrt,5,1,3,12345,best,1856,0.9701492537313433,0.9874843554443054,0.985,0.98625,0.98,0.985,0.96,0.98875,0.9698492462311558,0.9887640449438202,0.000518262687806957,0.00015352893267965166,0.008718314070105855,0.0014601201357718223
0.0016522407531738281,0.0005956172943115234,0.982,0.9812512382831848,gini,,sqrt,10,0.005,0.001,12345,random,263,0.9850746268656716,0.983729662077597,0.985,0.9825,0.98,0.97875,0.98,0.9825,0.9798994974874372,0.978776529338327,0.00027175179320056104,0.00014435329652366766,0.0024855843283293102,0.0020804698251358365
0.0016484737396240234,0.0005238533020019531,0.979,0.9847503027348481,gini,15,0.5,10,5,2,12345,random,628,0.9850746268656716,0.9849812265331664,0.98,0.98875,0.985,0.9825,0.97,0.98375,0.9748743718592965,0.9837702871410736,0.00027916156029684683,8.452298771404415e-05,0.005865514479268004,0.0021482924632062494
0.0018405437469482422,0.0005517959594726563,0.979,0.979000299609843,entropy,15,sqrt,10,0.05,5,12345,best,628,0.9751243781094527,0.9799749687108886,0.98,0.97875,0.98,0.97875,0.98,0.97875,0.9798994974874372,0.978776529338327,0.00040783337172755615,0.00015449535699533758,0.0019442529421316453,0.00048744285306281384
0.0016589164733886719,0.0005974769592285156,0.979,0.979000299609843,gini,15,,45,0.05,2,12345,random,628,0.9751243781094527,0.9799749687108886,0.98,0.97875,0.98,0.97875,0.98,0.97875,0.9798994974874372,0.978776529338327,0.000333839854938369,0.00013247657066588705,0.0019442529421316453,0.00048744285306281384
0.001598501205444336,0.0005311965942382812,0.979,0.979000299609843,entropy,17,log2,15,0.05,0.05,12345,random,628,0.9751243781094527,0.9799749687108886,0.98,0.97875,0.98,0.97875,0.98,0.97875,0.9798994974874372,0.978776529338327,0.00022406697298306224,7.813031767092426e-05,0.0019442529421316453,0.00048744285306281384
0.001983785629272461,0.0005417346954345703,0.971,0.9850009269545733,entropy,10,sqrt,15,0.01,0.005,12345,best,1925,0.9701492537313433,0.9849812265331664,0.985,0.98625,0.98,0.985,0.96,0.9875,0.9597989949748744,0.9812734082397003,0.00047394367179760376,0.00013244811083709752,0.010232913456730938,0.0020832827122004623
0.0017751693725585938,0.0006103515625,0.983,0.9887503058598529,gini,10,sqrt,45,0.001,0.01,12345,random,176,0.9751243781094527,0.9899874843554443,0.99,0.9875,1.0,0.98625,0.975,0.99125,0.9748743718592965,0.9887640449438202,0.00038387217389376934,0.00014177019076757523,0.0102959336709331,0.0017660160997377613
0.0015452384948730468,0.000519418716430664,0.979,0.979000299609843,gini,30,sqrt,15,0.05,0.05,12345,random,628,0.9751243781094527,0.9799749687108886,0.98,0.97875,0.98,0.97875,0.98,0.97875,0.9798994974874372,0.978776529338327,0.00032846893637396524,0.00010963725475874927,0.0019442529421316453,0.00048744285306281384
0.00130767822265625,0.00046591758728027345,0.982,0.9812512382831848,gini,10,log2,10,0.005,5,12345,random,263,0.9850746268656716,0.983729662077597,0.985,0.9825,0.98,0.97875,0.98,0.9825,0.9798994974874372,0.978776529338327,3.9712377262275234e-05,1.1583708422869982e-05,0.0024855843283293102,0.0020804698251358365
0.001499509811401367,0.0004581451416015625,0.979,0.979000299609843,gini,10,sqrt,20,0.05,5,12345,best,628,0.9751243781094527,0.9799749687108886,0.98,0.97875,0.98,0.97875,0.98,0.97875,0.9798994974874372,0.978776529338327,2.439365800890602e-05,2.2243316249257282e-06,0.0019442529421316453,0.00048744285306281384
0.0022408485412597655,0.00048317909240722654,0.981,0.9907503074223554,entropy,10,,15,0.005,2,12345,best,378,0.9751243781094527,0.9924906132665833,0.985,0.99125,0.99,0.99,0.975,0.98875,0.9798994974874372,0.9912609238451935,8.309965255321994e-05,2.4748996935825604e-05,0.005812066715290488,0.0012730496649267372
0.0021837234497070314,0.00047631263732910155,0.983,0.9904999945312414,gini,13,,40,0.005,3,12345,best,176,0.9800995024875622,0.9912390488110138,0.985,0.99125,1.0,0.985,0.975,0.99375,0.9748743718592965,0.9912609238451935,0.00014393520567219633,6.755959710394549e-06,0.009286018024603921,0.0029154827470968033
0.0012780189514160155,0.0004548072814941406,0.979,0.9797502996098431,gini,5,log2,20,5,0.01,12345,random,628,0.9751243781094527,0.9799749687108886,0.98,0.97875,0.98,0.97875,0.98,0.9825,0.9798994974874372,0.978776529338327,1.611441527877129e-05,5.317536109714755e-06,0.0019442529421316453,0.0014533241621322323
0.001313161849975586,0.00046944618225097656,0.984,0.9924999953124928,gini,,0.25,30,0.0001,0.001,12345,random,85,0.9850746268656716,0.9924906132665833,0.995,0.99125,0.975,0.99125,0.975,0.995,0.9899497487437185,0.9925093632958801,2.3382238933649386e-05,1.8861908439127394e-05,0.007992285149789634,0.001369319231002345
0.0016945362091064452,0.0004655361175537109,0.98,0.990250619532218,gini,5,0.5,15,0.005,3,12345,best,488,0.9701492537313433,0.9924906132665833,0.985,0.99,0.995,0.98875,0.98,0.99,0.9698492462311558,0.9900124843945068,6.686824690947695e-05,9.239573593078627e-06,0.009487307322154456,0.0012207997013548844
0.0013201713562011718,0.00047092437744140626,0.983,0.9922484316381744,entropy,15,0.33,,0.0001,5,12345,random,176,0.9751243781094527,0.9874843554443054,0.99,0.99125,0.98,0.9925,0.985,0.99625,0.9849246231155779,0.9937578027465668,7.811110808869433e-06,1.3373050911557905e-05,0.005060063251185964,0.00289990775215289
0.0013722896575927735,0.0004593849182128906,0.98,0.9817496769526202,entropy,15,,20,0.0001,0.05,12345,random,488,0.9800995024875622,0.9824780976220275,0.985,0.98125,0.98,0.97875,0.98,0.9825,0.9748743718592965,0.9837702871410736,1.6800915916766146e-05,5.958366024650236e-06,0.003198457558459827,0.001698480836382417
0.0013080120086669921,0.00046210289001464845,0.983,0.9882503058598529,gini,25,0.25,35,0.001,5,12345,random,176,0.9701492537313433,0.9899874843554443,0.995,0.98875,0.99,0.98875,0.98,0.985,0.9798994974874372,0.9887640449438202,2.2703358337683886e-05,6.310485363038857e-06,0.008689446913480246,0.001693847314366294
0.0013430118560791016,0.00045843124389648436,0.977,0.9822496753901179,gini,,,40,7,0.001,12345,random,1422,0.9751243781094527,0.9799749687108886,0.985,0.98375,0.98,0.97875,0.97,0.9875,0.9748743718592965,0.9812734082397003,2.0978125483950553e-05,2.6821825238085236e-06,0.005099632355008929,0.00310457721134017
0.0016849040985107422,0.0004634857177734375,0.971,0.9874999929687389,entropy,25,sqrt,40,7,0.01,12345,best,1925,0.9751243781094527,0.9887359198998749,0.965,0.9875,0.985,0.985,0.96,0.9875,0.9698492462311558,0.9887640449438202,5.834507450733004e-05,4.3806778251098066e-06,0.008618737266317022,0.0013693288588689687
0.0013077259063720703,0.0004625797271728516,0.98,0.9867496792963738,gini,5,log2,50,0.0005,5,12345,random,488,0.9701492537313433,0.986232790988736,0.995,0.985,0.98,0.98625,0.98,0.98875,0.9748743718592965,0.9875156054931336,1.5364962974661143e-05,1.287495647934912e-05,0.008350605865172764,0.0012779793752792008
0.0012804508209228516,0.0004561424255371094,0.978,0.9837496769526203,entropy,30,0.5,5,3,0.005,12345,random,1316,0.9800995024875622,0.9824780976220275,0.98,0.98875,0.985,0.9825,0.96,0.98125,0.9849246231155779,0.9837702871410736,5.067951299891061e-06,5.397746082514048e-06,0.009264346749934281,0.0026241435442973466
0.0013545036315917968,0.0004681587219238281,0.977,0.9822496753901179,gini,17,,15,7,0.001,12345,random,1422,0.9751243781094527,0.9799749687108886,0.985,0.98375,0.98,0.97875,0.97,0.9875,0.9748743718592965,0.9812734082397003,1.5224776507188815e-05,1.558433396592369e-05,0.005099632355008929,0.00310457721134017
