mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.4662464141845703,0.03600587844848633,0.984,0.9922499953124927,gini,10,0.33,35,1,2,500,12345,5,0.9850746268656716,0.9924906132665833,0.985,0.9925,0.99,0.99,0.98,0.99375,0.9798994974874372,0.9925093632958801,0.008035601477441966,0.0006428750433769974,0.003765385697805243,0.0012247582670221865
0.4357139587402344,0.03191690444946289,0.979,0.979000299609843,entropy,5,0.33,45,0.05,4,500,12345,11,0.9751243781094527,0.9799749687108886,0.98,0.97875,0.98,0.97875,0.98,0.97875,0.9798994974874372,0.978776529338327,0.002787841266138364,0.0004623537457322965,0.0019442529421316453,0.00048744285306281384
0.011657142639160156,0.00132904052734375,0.986,1.0,gini,,,45,1,0.001,10,12345,1,0.9850746268656716,1.0,0.99,1.0,1.0,1.0,0.975,1.0,0.9798994974874372,1.0,8.130494439649228e-05,2.655584863655671e-05,0.00861267260803732,0.0
0.18103694915771484,0.013982677459716797,0.981,0.9884996808588763,gini,10,0.25,15,0.0005,0.005,200,12345,10,0.9751243781094527,0.9887359198998749,0.985,0.9875,0.985,0.98625,0.98,0.99,0.9798994974874372,0.9900124843945068,0.0007396379618164384,0.00011419962240270596,0.0037121583348488146,0.0014598470285292547
0.09375267028808594,0.007576179504394531,0.979,0.979000299609843,entropy,10,log2,40,0.005,5,100,12345,11,0.9751243781094527,0.9799749687108886,0.98,0.97875,0.98,0.97875,0.98,0.97875,0.9798994974874372,0.978776529338327,0.0007491141561428242,0.00043450814760862086,0.0019442529421316453,0.00048744285306281384
0.19771771430969237,0.014071512222290038,0.982,0.9874990558578999,entropy,5,,35,0.001,0.05,200,12345,8,0.9751243781094527,0.9874843554443054,0.985,0.98375,0.99,0.985,0.985,0.99,0.9748743718592965,0.9912609238451935,0.0007139676002397835,0.0003801622454851044,0.006000520823749704,0.00285332397264826
0.09619536399841308,0.007397127151489258,0.984,0.9899993695302648,entropy,5,0.5,35,0.0005,0.005,100,12345,5,0.9850746268656716,0.9899874843554443,0.985,0.98875,0.995,0.9875,0.975,0.99125,0.9798994974874372,0.9925093632958801,0.0006273885241779957,2.9342499116134607e-05,0.006646663031419325,0.0017704269996025395
0.44872298240661623,0.03862752914428711,0.979,0.979000299609843,gini,5,0.5,,0.05,4,500,12345,11,0.9751243781094527,0.9799749687108886,0.98,0.97875,0.98,0.97875,0.98,0.97875,0.9798994974874372,0.978776529338327,0.0035518033678958866,0.011098303549332467,0.0019442529421316453,0.00048744285306281384
0.050202131271362305,0.004069375991821289,0.982,0.9889996824213789,entropy,,0.5,20,3,0.001,50,12345,8,0.9800995024875622,0.9912390488110138,0.985,0.98875,0.985,0.985,0.98,0.9875,0.9798994974874372,0.9925093632958801,0.0015763216683785035,0.0001694785787210682,0.0024503061237328037,0.002669886507561394
0.09623780250549316,0.007293605804443359,0.979,0.979000299609843,gini,5,0.5,50,0.005,0.05,100,12345,11,0.9751243781094527,0.9799749687108886,0.98,0.97875,0.98,0.97875,0.98,0.97875,0.9798994974874372,0.978776529338327,0.0022364106184053914,2.627437646136866e-05,0.0019442529421316453,0.00048744285306281384
