mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
1.2811713218688965,0.06956443786621094,0.9855,0.9994999218261414,gini,10,0.33,35,1,2,500,12345,9,0.9825436408977556,0.9993746091307066,0.985,1.0,0.9925,0.999375,0.9925,0.99875,0.974937343358396,1.0,0.16803674820268275,0.005181819305410843,0.006607612281745631,0.0004677280918538764
1.1763054847717285,0.06690030097961426,0.977,0.977000074560576,entropy,5,0.33,45,0.05,4,500,12345,40,0.9750623441396509,0.9774859287054409,0.9775,0.976875,0.9775,0.976875,0.9775,0.976875,0.9774436090225563,0.976889444097439,0.09227599867204962,0.0026473805539526216,0.0009705867814069431,0.0002429914758036304
0.05001535415649414,0.0026164531707763674,0.9875,0.9973749215331725,gini,,,45,1,0.001,10,12345,1,0.9875311720698254,0.9974984365228268,0.9875,0.996875,0.995,0.9975,0.995,0.996875,0.9724310776942355,0.9981261711430356,0.003462978231665646,0.0006874320439491818,0.008234144916573972,0.00046799992104953295
0.4573032855987549,0.03164396286010742,0.984,0.992374920751922,gini,10,0.25,15,0.0005,0.005,200,12345,27,0.9825436408977556,0.9924953095684803,0.9825,0.9925,0.99,0.991875,0.9925,0.991875,0.9724310776942355,0.9931292941911305,0.01778238806132396,0.005083976061683745,0.007016147770647367,0.0004688409298770637
0.29549922943115237,0.01538705825805664,0.9845,0.9886249201659844,entropy,10,log2,40,0.005,5,100,12345,23,0.9850374064837906,0.9887429643527205,0.985,0.99,0.9875,0.988125,0.9925,0.986875,0.9724310776942355,0.9893816364772018,0.02174011066359765,0.003402072716255019,0.006615652139459357,0.0010760612729094816
0.9022810935974122,0.029623746871948242,0.9845,0.9861244511228324,entropy,5,,35,0.001,0.05,200,12345,23,0.9825436408977556,0.9849906191369606,0.985,0.98625,0.9925,0.985625,0.9925,0.984375,0.9699248120300752,0.9893816364772018,0.04016305533315444,0.005861958119281174,0.00829447916854365,0.0017447420772561497
0.3498809814453125,0.014209604263305664,0.986,0.9944996084471127,entropy,5,0.5,35,0.0005,0.005,100,12345,5,0.9875311720698254,0.9924953095684803,0.985,0.995625,0.99,0.994375,0.9925,0.994375,0.974937343358396,0.995627732667083,0.011420171774634533,0.003955243919938879,0.006060969644657245,0.001147818707641975
1.2650548934936523,0.06680836677551269,0.977,0.977000074560576,gini,5,0.5,,0.05,4,500,12345,40,0.9750623441396509,0.9774859287054409,0.9775,0.976875,0.9775,0.976875,0.9775,0.976875,0.9774436090225563,0.976889444097439,0.06659778485458574,0.0023368769782827503,0.0009705867814069431,0.0002429914758036304
0.16705083847045898,0.008983421325683593,0.985,0.993624842773376,entropy,,0.5,20,3,0.001,50,12345,15,0.9875311720698254,0.9931207004377736,0.985,0.995,0.9875,0.99375,0.9925,0.991875,0.9724310776942355,0.9943785134291068,0.007422332420917283,0.0019906273182931497,0.006730612342658068,0.0010761831082771302
0.3013302803039551,0.016368722915649413,0.981,0.9842496072752371,gini,5,0.5,50,0.005,0.05,100,12345,34,0.9775561097256857,0.9849906191369606,0.9875,0.985625,0.9875,0.98375,0.985,0.97875,0.9674185463659147,0.9881324172392255,0.014638561837718335,0.003137146220007469,0.007699152866125494,0.0030987837793012884
0.24240632057189943,0.012946033477783203,0.981,0.9836243728513174,entropy,10,0.25,5,1,0.01,100,12345,34,0.9775561097256857,0.983739837398374,0.9775,0.983125,0.985,0.981875,0.9875,0.980625,0.9774436090225563,0.9887570268582137,0.01791938651449217,0.0029505350387033207,0.004359044119174569,0.002780769150250132
0.9617834091186523,0.02721271514892578,0.9865,0.9942496866209714,entropy,40,,20,0.001,0.005,200,12345,3,0.9875311720698254,0.9931207004377736,0.985,0.994375,0.9925,0.993125,0.9925,0.995,0.974937343358396,0.995627732667083,0.05812506035728074,0.002753863313481879,0.006460290475935017,0.0010017199520984312
0.2958999156951904,0.014835023880004882,0.985,0.9951246867186277,entropy,20,log2,30,0.001,3,100,12345,15,0.9875311720698254,0.9937460913070669,0.985,0.995,0.9875,0.995625,0.99,0.995,0.974937343358396,0.9962523422860712,0.013806313416161346,0.0038405607467958546,0.005266436464389984,0.0008310883614495497
1.4645487308502196,0.065956449508667,0.985,0.9883750764160455,entropy,30,log2,20,0.005,3,500,12345,15,0.9875311720698254,0.9893683552220137,0.985,0.99,0.99,0.9875,0.99,0.98625,0.9724310776942355,0.9887570268582137,0.04529571656603913,0.001785715154905168,0.006542258211591843,0.0013457023510644185
0.050202369689941406,0.004686689376831055,0.9835,0.9862497637206108,gini,5,0.25,20,0.005,3,20,12345,29,0.9800498753117207,0.9868667917448405,0.98,0.98625,0.99,0.985,0.99,0.984375,0.9774436090225563,0.9887570268582137,0.005224195959349356,0.0012592670136813032,0.005390200195875244,0.0015325625889449515
0.12583818435668945,0.009707164764404298,0.977,0.977000074560576,entropy,,log2,,0.05,0.05,50,12345,40,0.9750623441396509,0.9774859287054409,0.9775,0.976875,0.9775,0.976875,0.9775,0.976875,0.9774436090225563,0.976889444097439,0.010200205720329848,0.00042088418506727016,0.0009705867814069431,0.0002429914758036304
0.535767936706543,0.027155733108520506,0.9785,0.9828742945798025,gini,5,log2,50,3,0.05,200,12345,39,0.9750623441396509,0.9824890556597874,0.98,0.984375,0.9825,0.979375,0.985,0.98,0.9699248120300752,0.9881324172392255,0.01645126618378901,0.006830343027156518,0.005398092915215013,0.0031797802305492634
0.0930626392364502,0.004037141799926758,0.9845,0.9890001543945915,entropy,17,,40,7,0.01,20,12345,23,0.9850374064837906,0.9887429643527205,0.985,0.99125,0.99,0.989375,0.9925,0.988125,0.9699248120300752,0.9875078076202374,0.008958022160008537,0.001164239281734676,0.007831916008754016,0.001285414742641875
0.4889662265777588,0.014658498764038085,0.985,0.9933747645995175,entropy,5,,10,1,0.005,100,12345,15,0.9850374064837906,0.9924953095684803,0.985,0.994375,0.99,0.9925,0.9925,0.993125,0.9724310776942355,0.9943785134291068,0.03651300729663367,0.0033702607618126042,0.006911356829909239,0.000849590393146945
0.11148557662963868,0.008453798294067384,0.9835,0.9877496856444085,gini,30,0.33,40,7,2,50,12345,29,0.9800498753117207,0.9868667917448405,0.98,0.988125,0.99,0.986875,0.9925,0.9875,0.974937343358396,0.9893816364772018,0.005914379400979001,0.001996676115475218,0.006641820681194081,0.0009392597001490346
0.14701509475708008,0.009929084777832031,0.9855,0.9903749985351556,entropy,17,log2,20,5,0.001,50,12345,9,0.9850374064837906,0.9906191369606003,0.9875,0.99125,0.99,0.98875,0.9925,0.990625,0.9724310776942355,0.9906308557151781,0.00874142826642933,0.0011362354284116985,0.006983326802486986,0.0008477989151337227
0.3547489643096924,0.014714956283569336,0.9855,1.0,entropy,,0.5,50,0.0001,0.001,100,12345,9,0.9850374064837906,1.0,0.985,1.0,0.99,1.0,0.9925,1.0,0.974937343358396,1.0,0.00783577133429821,0.004137104457874067,0.0060167319831158,0.0
2.1457314014434816,0.07303376197814941,0.984,0.9873749200683282,entropy,,,5,5,3,500,12345,27,0.9850374064837906,0.9881175734834271,0.985,0.988125,0.99,0.986875,0.9925,0.985,0.9674185463659147,0.9887570268582137,0.1257111119136463,0.013144663934892121,0.008770246813527133,0.0013352556746307246
0.06580119132995606,0.005054998397827149,0.986,0.9948751554688107,entropy,30,sqrt,45,0.001,3,20,12345,5,0.9850374064837906,0.9956222639149468,0.985,0.99625,0.99,0.994375,0.9925,0.99375,0.9774436090225563,0.9943785134291068,0.009089546153263382,0.0009533409179612681,0.005161544337417335,0.0009177311319559804
0.14310235977172853,0.008109235763549804,0.9865,0.9998750780762024,entropy,13,log2,45,0.0005,3,50,12345,3,0.9875311720698254,1.0,0.985,1.0,0.99,1.0,0.9925,1.0,0.9774436090225563,0.9993753903810119,0.0090813959253329,0.001801767181631219,0.005164864879542635,0.0002498438475952547
0.06124420166015625,0.0043007850646972655,0.985,0.988624998242187,gini,5,sqrt,35,7,3,20,12345,15,0.9825436408977556,0.9887429643527205,0.9875,0.98875,0.99,0.988125,0.9925,0.98875,0.9724310776942355,0.9887570268582137,0.007991568672672002,0.0009383125631515525,0.007087053657166714,0.00025003866892425025
1.523075485229492,0.06750659942626953,0.9855,0.9883750764160455,gini,20,0.5,,7,0.005,500,12345,9,0.9850374064837906,0.9893683552220137,0.9875,0.988125,0.9925,0.988125,0.9925,0.9875,0.9699248120300752,0.9887570268582137,0.023144927907004325,0.005730863993429821,0.008296921619985185,0.000636132704441667
0.2651647090911865,0.015130853652954102,0.985,0.9881249983398431,gini,,log2,20,0.005,0.005,100,12345,15,0.9850374064837906,0.9893683552220137,0.9825,0.9875,0.99,0.9875,0.9925,0.986875,0.974937343358396,0.9893816364772018,0.013143018228131948,0.0020809188586211284,0.006140119197267148,0.0010458314820208025
0.2636888027191162,0.017828750610351562,0.9795,0.9856245292966911,gini,25,sqrt,40,1,0.05,100,12345,38,0.9775561097256857,0.9856160100062539,0.98,0.986875,0.9875,0.98375,0.9825,0.9825,0.9699248120300752,0.9893816364772018,0.01085834079390155,0.0006228822957577398,0.005805052459191308,0.0024064973440260495
