mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_random_state,param_splitter,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.013769388198852539,0.0011388778686523438,0.992,1.0,entropy,40,0.5,30,0.0001,3,12345,best,739,0.9875311720698254,1.0,0.9925187032418953,1.0,0.985,1.0,0.9974937343358395,1.0,0.9974937343358395,1.0,0.0015636401674869666,5.853637882982667e-05,0.0050892318307141126,0.0
0.0050850391387939455,0.0009646415710449219,0.8535,0.8942494989255856,gini,25,log2,50,1,4,12345,random,1586,0.885286783042394,0.9093183239524703,0.8603491271820449,0.8818011257035647,0.8325,0.885,0.8421052631578947,0.8844472204871955,0.8471177944862155,0.9106808244846971,0.0010002277375635873,0.0001425364294091754,0.018281682297437055,0.012912457830740357
0.0046025276184082035,0.0008113384246826172,0.952,0.9508674813447193,entropy,5,0.33,,0.005,0.001,12345,random,1061,0.9276807980049875,0.9274546591619762,0.9451371571072319,0.9230769230769231,0.985,0.993125,0.9022556390977443,0.9106808244846971,1.0,1.0,0.0008555131399901137,0.0001680467778345638,0.03604351173709515,0.03777603746634788
0.004362821578979492,0.0007259845733642578,1.0,1.0,entropy,5,0.5,35,0.0001,2,12345,random,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006538647331728219,0.00013417260531066076,0.0,0.0
0.00560464859008789,0.0008562564849853516,0.9,0.9383730287589955,gini,30,sqrt,35,0.0001,4,12345,best,1249,0.8778054862842892,0.9074421513445904,0.9501246882793017,0.9687304565353346,0.8725,0.92375,0.8897243107769424,0.9287945034353529,0.9097744360902256,0.9631480324797002,0.0011093642730567069,0.00016754571797763726,0.028176124938058874,0.023654490168437816
0.005202245712280273,0.0009158611297607422,0.987,0.9952482801751094,gini,,0.33,35,0.001,0.01,12345,random,788,0.9900249376558603,0.9949968730456535,0.970074812967581,0.9912445278298937,0.9775,0.99,0.9974937343358395,1.0,1.0,1.0,0.0007839720655545192,7.078030460727744e-05,0.011532752477829087,0.004214151534331072
0.009628629684448243,0.001054096221923828,0.847,0.85674987661128,entropy,5,0.25,40,0.05,0.005,12345,best,1650,0.8753117206982544,0.8611632270168855,0.8703241895261845,0.8486554096310194,0.8275,0.863125,0.8320802005012531,0.8544659587757651,0.8295739348370927,0.8563397876327296,0.0013798048554531236,0.00011014859913468246,0.021232700101723047,0.0051190762715221305
0.006920814514160156,0.0011303424835205078,0.8145,0.9463749830078058,gini,30,log2,,0.0005,0.005,12345,best,2000,0.7980049875311721,0.9449656035021888,0.8054862842892768,0.9462163852407754,0.8275,0.949375,0.8721804511278195,0.9506558400999375,0.7694235588972431,0.9406620861961275,0.00016451137651308446,0.00014468892656182964,0.03426000152762916,0.0035206400901016
0.00534367561340332,0.0010271072387695312,0.844,0.8459997948241387,entropy,15,sqrt,20,5,4,12345,random,1703,0.8379052369077307,0.8386491557223265,0.8453865336658354,0.8474046278924328,0.86,0.85625,0.8370927318295739,0.84946908182386,0.8395989974937343,0.8382261086820737,0.0008748045589359722,6.44818904090734e-05,0.008509732815852903,0.00683430034200847
0.0057239532470703125,0.001058053970336914,0.8775,0.8784971493152927,entropy,13,sqrt,5,1,3,12345,best,1382,0.8678304239401496,0.8711694809255784,0.9102244389027432,0.8730456535334584,0.875,0.88125,0.87468671679198,0.8819487820112429,0.8596491228070176,0.8850718301061836,0.0005567844570317719,4.4721733182880735e-05,0.017316480789717894,0.005406143041968656
