mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.787161111831665,0.03536801338195801,1.0,1.0,gini,10,0.33,35,1,2,500,12345,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.015349533605345321,0.0012477685790757995,0.0,0.0
0.70299072265625,0.03437991142272949,0.996,0.9977499968749951,entropy,5,0.33,45,0.05,4,500,12345,14,0.9950248756218906,0.9987484355444305,0.9950248756218906,0.9962453066332916,1.0,0.99875,1.0,0.9962546816479401,0.9899497487437185,0.9987515605493134,0.0034005588309331254,0.0006024702366505007,0.003748433175178905,0.0012247510908015434
0.01895880699157715,0.001253795623779297,1.0,1.0,gini,,,45,1,0.001,10,12345,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00039177882276998177,0.00010224175956645281,0.0,0.0
0.2859951972961426,0.014056968688964843,1.0,1.0,gini,10,0.25,15,0.0005,0.005,200,12345,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0017331071779672588,7.273203285763426e-05,0.0,0.0
0.1196634292602539,0.008069324493408202,0.852,0.9247445949134295,entropy,10,log2,40,0.005,5,100,12345,16,0.835820895522388,0.9361702127659575,0.8507462686567164,0.904881101376721,0.87,0.92,0.8492462311557789,0.9176029962546817,0.8542713567839196,0.9450686641697877,0.0011901190189725329,0.00015455022763435634,0.010966590475287499,0.01422451772277207
0.3564018249511719,0.013596105575561523,1.0,1.0,entropy,5,,35,0.001,0.05,200,12345,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002329702470642288,0.0006772777252543053,0.0,0.0
0.16340556144714355,0.007262897491455078,1.0,1.0,entropy,5,0.5,35,0.0005,0.005,100,12345,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0028385995140183533,0.0001385548316047825,0.0,0.0
0.7656437397003174,0.03351969718933105,1.0,1.0,gini,5,0.5,,0.05,4,500,12345,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.014191687969404251,0.0004580606897686838,0.0,0.0
0.08190355300903321,0.003932809829711914,1.0,1.0,entropy,,0.5,20,3,0.001,50,12345,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0017726402378905862,0.00011566506757482906,0.0,0.0
0.16105284690856933,0.007942008972167968,1.0,1.0,gini,5,0.5,50,0.005,0.05,100,12345,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013472748698036007,0.0012697277420661809,0.0,0.0
